puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
27,5.8,Louis Leterrier,"['Travis Beacham', 'Phil Hay', 'Matt Manfredi']",-,106,Accion,clash of the titans,2010
100,3.9,"['Albert J. Allie', 'Michael J. Arbouet']",Albert J. Allie,Cross the Line is an action/drama about two police detectives Angela who is a top rate narcotics detective and Joe who is a hard nose homicide detective. Both detectives are going through a bad divorce. It sounds like a coincidence but it's not because they are the ones getting divorced from each other. One case forces them back together. A power drug lord seeks to ge... Leer todo,87,Accion,cross the line,2010
40,4.3,Dean Bajramovic,Dean Bajramovic,A Tokyo cyber-punk Yakuza and a Bosnian mob enforcer team up to smuggle a toilet made of pure heroin to New York City. It's worth millions - if they can find somebody who can decipher the Japanese chemistry formula.,95,Accion,gangster exchange,2010
nan,4.0,Luis Barone,"['Luis Barone', 'Juan Sasturain', 'Jesús de la Vega']","Set in a decaying Buenos Aires, a poor Argentine (Minujin) wrestles with his newly discovered superpowers.",103,Accion,zenitram,2010
99,8.1,"['Dean De', 'Blois', 'Chris Sanders']","['William Davies', 'Dean De', 'Blois', 'Chris Sanders']",-,98,Accion,how to train your dragon,2010
18,2.5,Shaun Rana,Shaun Rana,"The town of Westbrick is a rough place to live in. It is here that the young rookie cop Matthew lives with his wife. Meanwhile, notorious serial killers Billy and Barbara embark on a killing spree in order to get notoriety. Matthew gets his first assignment with his much older partner William when he unfortunately crosses paths with Billy and Barbara. William gets kil... Leer todo",90,Accion,westbrick murders,2010
nan,4.0,Mark Hazen Kelly,Mark Hazen Kelly,Two young boys and a girl commit a diamond robbery on Halloween. During escape the girl is fatally shot. One of the boys knows a doctor (Jeremy London) who has a private clinic in his house. They decide to go to his house instead of the hospital where they will expect the police. They enter the house quietly with no drama. But when the doctor tells them she needs an a... Leer todo,78,Accion,house under siege,2010
13,3.0,"['Matthew R. Anderson', 'Edward Conna']",Edward Conna,Good Vampires battle Zombie Vampires while trying to hide their own identity and prevent the infection from spreading.,89,Accion,the dead undead,2010
71,4.3,Jason Konopisos-Alvarez,Jason Konopisos-Alvarez,A man travels through corporate corruption and his own sin to find his soul.,92,Accion,the waiter,2010
5,4.0,M. Night Shyamalan,M. Night Shyamalan,-,103,Accion,the last airbender,2010
62,6.4,Phillip Noyce,Kurt Wimmer,-,100,Accion,salt,2010
53,6.8,Paul Greengrass,"['Brian Helgeland', 'Rajiv Chandrasekaran']",-,115,Accion,green zone,2010
44,6.6,Ridley Scott,"['Brian Helgeland', 'Ethan Reiff', 'Cyrus Voris']",-,140,Accion,robin hood,2010
nan,6.8,Scott Buchanan,"['Dale Buchanan', 'Scott Buchanan']","As Los Angeles grew to a population of over 5 million, crime was getting out of control. Budget cuts, low recruitment, and a rash of abuse lawsuits, left the LAPD unable to cope with the rising crime rate. In 2006 the city council passed proposition PSO357 authorizing PSO's (Private Security Officers) to handle all misdemeanor, infraction, and truancy cases. These are... Leer todo",84,Accion,private security officer: los angeles,2010
40,6.1,Jon Turteltaub,"['Lawrence Konner', 'Mark Rosenthal', 'Matt Lopez']",-,109,Accion,the sorcerer's apprentice,2010
91,7.8,David O. Russell,"['Scott Silver', 'Paul Tamasy', 'Eric Johnson']",-,116,Accion,the fighter,2010
63,3.1,James Boss,Vivian Kyinn,"Set in a wasteland enclosed by a large white wall, the last survivor from a brutal child internment camp reluctantly takes on one final bounty hunting job to protect the idyllic life he has rebuilt.",95,Accion,white wall,2010
