puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,-,Shawn Schepps,Mace Lombard,-,-,Comedia,hobo handyman,2015
nan,-,-,"['Andrew Mc', 'Burney']",Comedy/drama about a man's struggle to live a worthwhile life after his long-term partner leaves him.,7,Comedia,melancomedy presents: between two ghosts,2015
nan,-,Pierre Sabrou,Morgan Rouxel,"To François, every decision is impossible. But his everyday life is going to change when he'll find the solution to all his dilemmas : the Indecisive will play is life - at heads or tails .",5,Comedia,l'indécis,2015
nan,-,Brandon Lamont Hughes,Brandon Lamont Hughes,-,-,Comedia,african vampires eddie murphy,2015
nan,9.3,Price James,Darren Cullen,-,-,Comedia,action man: battlefield casualties,2015
85,-,Zachary Hunsinger,Zachary Hunsinger,"The story involves Adam, Ryan, David, and Evan, who are bored, have nothing to do, until the new kid on the block named Zach, who's fun creative and imaginative decides to do a game night. What follows results one bizarre and memorable night.",9,Comedia,game night,2015
-,-,Carlo Barbalucca,"['Fabrizio Cafaro', 'Simona Palmieri']",-,22,Comedia,bella mia,2015
nan,-,Sterling E. Smith,Jason Bromley,"Officer Lutz and Officer Winkle are two clueless detectives investigating a recent attack by Freddy Krueger himself. As they question the only living witness, their questions come off as more offensive than productive",10,Comedia,freddy gets fingered,2015
nan,-,Carlo Barbalucca,"['Carlo Barbalucca', 'Pino Barbalucca']",-,-,Comedia,elide,2015
nan,-,Damon Packard,Damon Packard,-,23,Comedia,john carpenters corpse,2015
nan,-,"['Fleur & Manu', 'Fleur Fortune']",-,A never ending day : A man goes into his bank and has his loan application turned down again and again - until everything becomes mad.,-,Comedia,skrillex: doompy poomp,2015
nan,-,Victor Català,Victor Català,-,3,Comedia,matapasiones,2015
nan,-,Jesse van Olderen,Jesse van Olderen,-,-,Comedia,de overval,2015
nan,-,James Wooldridge,James Wooldridge,-,-,Comedia,sr. chevre,2015
nan,-,Ketchup Freeland,Ketchup Freeland,"Our heroine and Stella are best friends forever, discussing global politics and how they're gonna deal with it. That is till Stella gives the deuces and a basic bitch moves in - with all the strain and all the pain, will rage consume our heroine?",12,Comedia,technicolor angst,2015
nan,-,Lisa Ortiz,"['Walter Hoffman', 'Lisa Ortiz']",-,5,Comedia,a psychic engagement,2015
nan,-,Dan Balchen,Dan Balchen,-,5,Comedia,dial tone,2015
