actor,año_nacimiento,que_hace,conocido_por,lista premios
Steve Talley,1981.0,"['Reparto', 'Producción', 'Equipos adicionales']",['El guerrero pacífico (2006)'],[]
Marissa Holder,,"['Reparto', 'Música']",[],['Portland Comedy Film Festival']
Michael Phillis,,"['Reparto', 'Guion', 'Dirección']",[],
Katharin 'Ladie K' Mraz,,"['Reparto', 'Diseño de producción', 'Producción']",[],['Southern Shorts Awards']
Marianna Palka,1981.0,"['Reparto', 'Dirección', 'Guion']","['El cobrador (2021)', 'Bitch (2017)', 'Egg (2018)']","['Edinburgh International Film Festival', 'Fantasia Film Festival']"
Niharika Kareer,,['Reparto'],[],
Ai-chan,,['Reparto'],"['A Mind Cannot Touch (2022)', 'Training Day (2017)']",['Young Artist Awards']
Johny Lever,1957.0,"['Reparto', 'Música', 'Equipos adicionales']","['Baazigar (1993)', 'Awara Paagal Deewana (2002)']",[]
Kate Jenkins,,['Reparto'],[],
Rudolf Rodrigues,,['Reparto'],[],
Khatuna Chagelishvili,,['Reparto'],[],
Isabella Wallin,,['Reparto'],[],
Meiying Huang,1950.0,['Reparto'],"['Kong que (2005)', 'Qiu Jin (1984)', 'A Corner in the City (1983)']",['Golden Rooster Awards']
Tim Man,1979.0,"['Especialistas', 'Reparto', 'Equipos adicionales']","['El legado de las mentiras (2020)', 'Ganapath (2023)']",['Birmingham Film Festival']
Satoshi Tsumabuki,1980.0,['Reparto'],['Ikari (2016)'],"['Hochi Film Awards', 'Awards of the Japanese Academy', 'Japanese Professional Movie Awards', 'Kinema Junpo Awards', 'Yokohama Film Festival', 'Nikkan Sports Film Awards', 'Pacific Meridian International Film Festival of Asia Pacific Countries']"
Rebecca Wilson,,"['Reparto', 'Dirección', 'Dirección de fotografía y cámara']",[],"['Independent Horror Movie Awards', 'Stockholm City Film Festival', 'Boden International Film Festival', 'Student World Impact Film Festival']"
Rajkumar Bakhtiani,,['Reparto'],[],
Jesse Tyler Ferguson,1975.0,"['Reparto', 'Producción', 'Banda sonora']","['Oso vicioso (2023)', 'Modern Family (2009)']","['Screen Actors Guild Awards', 'Gold Derby Awards']"
