actor,año_nacimiento,que_hace,conocido_por,lista premios
Vilmos Kun,1926.0,['Reparto'],"['Liszt Ferenc (1982)', 'Mephisto (1981)', 'Sunshine (1999)']",[]
David M Sandoval Jr.,,"['Reparto', 'Producción', 'Guion']","['Yo soy Dolemite (2019)', 'Por trece razones (2017)', 'Big Little Lies (2017)']","['Experimental Forum', 'LA Underground Film Forum']"
Eric Borras,,"['Reparto', 'Especialistas']",[],
Lee Wong,,"['Producción', 'Reparto', 'Equipos adicionales']",['Magnum (2018)'],[]
Danilo Baeza,,['Reparto'],[],
Pooja Dileeban,,['Reparto'],[],
Nathan Langdon,,['Animación'],[],[]
Andri Schenardi,,['Reparto'],[],
Helen Coxe,,"['Reparto', 'Sonido', 'Equipos adicionales']",['Julie y Julia (2009)'],
John Rausch,,"['Dirección de fotografía y cámara', 'Cámara y electricidad']",[],
Iris Karina,,"['Reparto', 'Sonido', 'Edición']","['The Vehicle (2013)', 'Brando Unauthorized (2010)']",
Albert Dray,,['Reparto'],[],
Mirjana Djurdjevic,1977.0,['Reparto'],"['Parada (2011)', 'Kordon (2002)']",
Joe Knight,,['Cámara y electricidad'],[],
Andrea Grimason,,['Reparto'],[],
Killian Morgan,,['Reparto'],[],
Søren Brunsgaard Petersen,,['Reparto'],[],[]
Christine Tremarco,,['Reparto'],"['Swallow (2001)', 'Safe House (2015)', 'The Responder (2022)']",[]
Rosemary Murphy,1925.0,['Reparto'],"['Matar a un ruiseñor (1962)', 'Eleanor and Franklin (1976)', 'Más allá de la muerte (2009)']","['Primetime Emmy Awards', 'Clarence Derwent Awards']"
John Schultz,,"['Dirección', 'Guion', 'Producción']",[],"['Gijón International Film Festival', 'Tokyo International Film Festival']"
Betty Bellor,,['Reparto'],[],
Cody Hanford,1994.0,"['Reparto', 'Equipos adicionales']","['Hounddog (2007)', 'Made in Taiwan (2006)', 'Asylum (2008)']",[]
Tijana Markovic,1986.0,['Reparto'],"['Neki bolji ljudi (2020)', 'Drzavni sluzbenik (2019)', 'Los últimos tres días (2021)']",
Philip Hughes,,"['Reparto', 'Equipos adicionales', 'Dirección']",[],
Richter Hartig,,"['Equipos adicionales', 'Producción', 'Dirección de producción']",[],
Christopher Babers,1980.0,"['Reparto', 'Producción', 'Dirección']","['Keys (2007)', 'Rumbo al sur (1994)']","['Hollywood Black Film Festival', 'New York International Independent Film & Video Festival', 'Northern California Independent Film and Video Festival', 'Young Artist Awards', 'New Jersey International Festival', 'San Francisco Black Film Festival']"
Stefano De Sando,1954.0,"['Equipos adicionales', 'Reparto', 'Composición']","['Elisa de Rivombrosa (2003)', 'Pompeya (2007)', 'Mussolini y yo (1985)']","[""Leggio d'oro"", ""Il Festival Nazionale del Doppiaggio Voci nell'Ombra""]"
Wes Studi,1947.0,"['Reparto', 'Producción', 'Dirección']","['El último mohicano (1992)', 'Heat (1995)']","['Academy Awards, USA', 'Santa Fe Film Festival', 'First Americans in the Arts Awards', 'Western Heritage Awards', 'American Indian Film Festival', 'Golden Boot Awards', 'Voice Arts Awards', 'Red Nation Film Festival']"
Rich Bryant,1977.0,"['Reparto', 'Producción', 'Guion']",[],
Patrick Adam,,"['Reparto', 'Guion', 'Edición']",[],
Andrew William Smith,,['Reparto'],[],
Antonio R. Munoz,,"['Reparto', 'Guion y continuidad', 'Casting']",[],
Scotty Karate,,['Reparto'],[],
Matilda Kelly Wood,,['Reparto'],[],
Alex Gravenstein,,"['Reparto', 'Dirección', 'Edición']",[],
Orsola Scannapieco,,"['Reparto', 'Maquillaje']",[],
Thomas,1966.0,"['Reparto', 'Producción', 'Dirección']",[],"['Young Artist Awards', 'Milledgeville-Eatonton Film Festival, US', 'Independent Shorts Awards']"
Milo Maharlika,,['Reparto'],[],
Mark J. Kilbane,,"['Reparto', 'Producción', 'Guion y continuidad']",[],
Augustina,,['Reparto'],[],
Brionne Davis,,"['Reparto', 'Dirección', 'Producción']","['El abrazo de la serpiente (2015)', 'Moon Garden (2022)']",[]
Milan Tocinovski,,"['Reparto', 'Edición', 'Cámara y electricidad']","['Kako ubiv svetec (2004)', '18 comidas (2010)', 'Vsi proti vsem (2019)']",['Sarajevo Film Festival']
Thammegowda S.,,['Reparto'],[],
Ernest Hardin Jr.,,['Reparto'],[],
Finbar Lynch,1959.0,['Reparto'],"['El niño 44 (2015)', 'Proof (2004)', 'Sufragistas (2015)']",[]
Bernard Glincosky,,"['Reparto', 'Producción', 'Casting']","['The Listing (2017)', 'Booked (2018)', 'What Death Leaves Behind (2018)']",['New Jersey Horror Con and Film Festival']
Lois Maxwell,1927.0,['Reparto'],"['Operación Trueno (1965)', 'Diamantes para la eternidad (1971)']","['Golden Globes, USA']"
Erin Hill,,"['Reparto', 'Música', 'Composición']",[],"['Accolade Competition', 'Tabloid Witch Awards', 'Marina del Rey Film Festival', 'Golden State Film Festival', 'X World Short Film Festival', 'Picasso Einstein Buddha International Film Festival']"
Abbie Cornish,1982.0,"['Reparto', 'Producción']","['Bright Star (2009)', 'Tres anuncios en las afueras (2017)', 'Candy (2006)']","['Film Critics Circle of Australia Awards', 'Australian Film Institute', 'Boston Society of Film Critics Awards', 'Miami Film Festival', 'Screen Actors Guild Awards', 'IF Awards', 'New York City International Film Festival, US', 'CinEuphoria Awards', 'Online Film & Television Association', 'Women Film Critics Circle Awards', 'Gold Derby Awards', 'Chicago Independent Film Critics Circle Awards']"
Stephan Tölle,1976.0,"['Reparto', 'Banda sonora']","['Herzensbrecher (2013)', 'Nord bei Nordwest (2014)', 'Fremdkörper (2011)']",
Maxime Foerste,1991.0,['Reparto'],"['Deliciosa Martha (2001)', 'Das Haus der schlafenden Schönen (2006)', 'Max Minsky und ich (2007)']",
Aaron Ashmore,1979.0,"['Reparto', 'Producción']","['Veronica Mars (2004)', 'Deshielo (2009)', 'Killjoys (2015)']",[]
Timothy Morris Lane,,"['Reparto', 'Casting', 'Dirección']","['Home Is Where the Heart Is (2021)', 'The Ad Campaign (2020)']",
Anthony Ames,2013.0,"['Producción', 'Reparto']","['Supergirl (2015)', 'Genesis Code (2020)']",[]
Peter Yarrow,1938.0,"['Producción', 'Composición', 'Reparto']","['Los padres de ella (2000)', 'Aterriza como puedas (1980)']",['Grammy Awards']
Seema Chandekar,,['Reparto'],[],
