,0,1,2,3,4,5,6
142,-,['Paul Joe Johny'],"['Travis James', 'Annabel Paul', 'Joe Johny']","A criminal couple who try to pull off a high-profile robbery - but when one partner tries to steal the glory for themselves, the whole plan is turned on its head and everything dominoes into complete chaos.",-,"run baby, run!",2015
143,8.8,['Erin Brown Thomas'],Jake Thomas,"When the love of his life threatens to go overseas, Stan, a shy daydreamer, must become the hero of his action movie fantasies to win her heart.",-,hotwire,2015
144,6.9,['Osokwe Tychicus Vasquez'],"['Mayra Martinez', 'Osokwe Tychicus Vasquez']","One year after the events of Arkham City, Gotham City has found itself in a state of complete disarray. While newly appointed mayor, Quincy Sharp, seeks to capture the remaining inmates of Blackgate, John Blake, now donning the mantle of the Dark Knight, must contend with the diabolical Black Mask and his band of hired mercenaries - a struggle that will bring the youn... Leer todo",-,batman: arkham knight,2015
145,-,Brady Brandwood,-,"A documentary on the heritage of Moonshine in rural North Georgia, with interesting and emotional details told about the lifestyle and techniques used to avoid getting caught by the 'Narks', as well as a first-hand look into the culture, risk, personal pride, and passion poured into the art. One touching and revealing scene at the end sums up the emotional human facto... Leer todo",-,moonshine heritage,2015
146,8.7,Jordan Mears,Jordan Mears,"Raven, a vampire hunter who poses as a prostitute, has spent years searching for the vampire who killed her father when she was just a child. One night, after slaying another vampire, she is kidnapped by a group of people who reveal themselves to be fellow hunters. They require her assistance in finding and killing a deranged scientist turned vampire with plans to des... Leer todo",-,vampire-killing prostitute,2015
147,-,['Sabrina Pe Young'],['Sabrina Pe Young'],"In a time when progress has outstripped the need for humankind, a young cyborg attempts to save his lover from a fate worst than death in this experimental animated film by award-winning composer Sabrina Pena Young.",-,singularity,2015
148,9.2,James Kingstone,"['James Kingstone', 'Tim O', 'Rourke Sean Ofm']","Mallory Costello wants to change her life. She auditions for ""Becoming Mr. Buyer"" a contest to demonstrate ones particular brand of sociopathy.",-,becoming mr. buyer,2015
149,,,,,,the fish,2015
150,8.0,David Sandberg,David Sandberg,"In 1985, Kung Fury, the toughest martial artist cop in Miami, goes back in time to kill the worst criminal of all time - Kung Führer, a.k.a. Adolf Hitler.",-,kung fury,2015
151,-,"['Evelien Raps', 'Marc Raps']","['Evelien Raps', 'Marc Raps']","In the year 2045, the rulers of District 24 of The Netherlands have cut all connections to the outside world. Their Organization rules with an iron fist and their laws have taken a hard toll on the district's inhabitants. Until one day a young cleaning lady enters the Organization's headquarters to confront both those in power and the ghosts that haunt her own past.",-,de schoonmaakster,2015
152,7.9,Philippe Tullio,"['Philippe Tullio', 'J Minui']","Semerkhet, a cruel and seemingly unchallengeable master, reigns as King over the Three Kingdoms. But when his little brother Jaya, learns that Semerkhet has forced princess Cassiopeia into marriage and that she is still alive, he makes it his mission to escape the prison his brother put him in and return balance to the kingdoms.",-,jaya,2015
153,-,Quantrelle King,Quantrelle King,"Set in the dirty suburban streets, three women go to unlikely lengths to get what they want.",-,the things we do,2015
154,7.6,['J Mackye Gruber'],"['Georgia Gwynne', 'Gruber J', 'Mackye Gruber']","When a courier discovers the true nature of his job, he is given unexpected powers to make amends with startling consequences.",-,the courier,2015
155,-,Taylor Ellis,Taylor Ellis,-,-,abracadabra,2015
156,-,Javier Urtasun,"['Gabriel Castro', 'Javier Urtasun']",-,-,happiness under the tree,2015
157,-,Cengiz Dervis,"['Cengiz Dervis', 'Senol Dervis']","Two brothers, an item to acquire or a life and death decision to make, the clock is ticking.",-,brothers promise,2015
158,-,-,Genia Nunez,-,-,overpowered,2015
159,-,Spencer Showalter,Spencer Showalter,A lone greaser and his cyborg sidekick thwart a syrup-junkie Sheriff's plan to overthrow a desolate town.,-,forcer baby,2015
160,-,Tanner Boyajian,Paddy Doheny,"Three dysfunctional siblings find a cache of rare guns amidst their deceased Dad's belongings. When an obsessed gun collector arrives, the siblings must prepare for battle.",-,sons of guns,2015
161,-,Adriel Jimenez,Adriel Jimenez,"The Z-Squad, a monster-battling task force, must defend their city from a giant rampaging beast while facing the even more daunting task of living up to the legacy of their predecessor.",-,kaijutsu: super battle for the ultimate fate of the world - z-squad super scientists vs. uroja,2015
162,5.9,Ryan James,Ryan James,"A superhero romance surrounding a war waged between Capes and Masks, one of which questions his arch rivalry after the planet's inhabitants become powerless for one night.",-,super'mance,2015
163,7.4,John Baran,Israel Marquez,Two friends live the life of crime till one of them wants to quit. One has to make a decision between friends or the love of his girl.,-,no sunshine,2015
164,9.8,"['Melanie Star', 'Scot David Topp']","['Melanie Star', 'Scot David', 'Topp Cate Sanford']",An impulsive act by a group of thrill-seeking teenagers sets in motion a chain of events that will change many lives.,-,sangria lift,2015
165,-,Marcus Kempton,Marcus Kempton,"""Avenging your squad's death? Just another day in Paradise. It's HAMMER time!""",-,"peace, love, unity, retribution",2015
166,-,['Matthew Gordon Levandoski'],['Matthew Gordon Levandoski'],Two brothers are hired to complete a task and everything goes according to plan.,-,the thin brothers visit room 213,2015
167,-,Blake Lyons,Blake Lyons,"Valedeathtorian is the story of one very unfortunate student, Justin Scholar, during his last days in high school. Justin is a gentleman and a scholar who is more concerned with his studies than his social status. He wants nothing more than to fulfill a longstanding family tradition and finally make his parents proud by becoming class Valedictorian. Unfortunately for ... Leer todo",-,valedeathtorian,2015
168,-,['Edith Fabritius Tvede'],['Edith Fabritius Tvede'],"Mrs. Winther and Georgina have had enough; buried alive at the compulsory nursing home they have been left at, they decide to break out and decide for themselves how they want to spend the last years of their lives. Being cunning, clever and true to themselves and their age, they escape, but quickly find out that age is catching up.",-,fru winthers sidste vilje,2015
169,-,Massimo My,"['Dalia Kandalaft', 'Paul Darmanin', 'Walter Lobina']",A new touristic attraction opening in late 2014 that presents an exciting docudrama about the shipwreck of Saint Paul and his three month stay in Malta.,-,the shipwreck,2015
