puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
3.0,Kiefer Liu,"['Jen Li', 'Kiefer Liu']",-,100,Comedia,shi cha qi xiao shi,2005
5.0,Saul Metzstein,"['Steve Attridge', 'John Paul Chapple', 'John Griesemer']","A black comedy set in 1979, about a soldier mistakenly posted to an Arctic military base.",101,Comedia,guy x,2005
6.5,Randall Miller,"['Randall Miller', 'Jody Savin']",A widowed man's life turns upside down when he embarks on a journey to find a dying man's long lost love.,104,Comedia,marilyn hotchkiss' ballroom dancing & charm school,2005
5.8,Richard Linklater,"['Bill Lancaster', 'Glenn Ficarra', 'John Requa']",-,113,Comedia,bad news bears,2005
4.8,Randal Kleiser,Stephen Langford,-,87,Comedia,love wrecked,2005
5.4,Vladimír Morávek,"['Jan Budar', 'Vladimír Morávek']","Vaclav Hrubes (Jan Budar) and Josef Mares (Richard Krajco) are pals: They have no money; they are neither too smart nor too handsome. Hrubes works as a ticket inspector, Mares has no job at all. However he is a prominent member of the fan club of the Czech pop star Hana Zagorová and tries to lose weight each month with a different method. Both intensely long for love,... Leer todo",108,Comedia,hrubes a mares jsou kamarádi do deste,2005
5.6,Josh Stolberg,"['Andrew Shaifer', 'Josh Stolberg']",A diverse group of high school students band together to peacefully stick it to their overbearing principal.,91,Comedia,kids in america,2005
6.9,Gaby Dellal,Alex Rose,Frank determines to salvage his self-esteem and tackle his demons by attempting the ultimate test of endurance - swimming the English Channel.,95,Comedia,on a clear day,2005
7.1,Jim Jarmusch,"['Jim Jarmusch', 'Bill Raden', 'Sara Driver']",-,106,Comedia,broken flowers,2005
3.3,Ellory Elkayem,"['William Butler', 'Aaron Strongoni']","A group of teenagers, in an attempt to rescue their friend from an evil corporation, end up inadvertently releasing a horde of bloodthirsty zombies.",88,Comedia,return of the living dead: necropolis,2005
6.5,Hannes Stöhr,Hannes Stöhr,"The day of the Champions League final between Galatasaray and Deportivo la Coruña stops life in four European cities, adding to the problems of tourists in trouble, who are already struggling with the language barrier.",95,Comedia,one day in europe,2005
7.2,Alex Bowen,"['Alex Bowen', 'Jorge Durán', 'Fernando Labarca']",The days of tense guard of a Chilean military that in the middle of the solitude will interact and forming circles of friendship with their Argentine rivals.,100,Comedia,mi mejor enemigo,2005
3.3,Ellory Elkayem,"['William Butler', 'Aaron Strongoni']","A college student creates a drug called ""Z"" and sells it on campus, inadvertently resurrecting the living dead, who wreak havoc at a Halloween rave.",86,Comedia,return of the living dead: rave to the grave,2005
7.2,Neil Jordan,"['Neil Jordan', 'Pat Mc', 'Cabe']",-,128,Comedia,breakfast on pluto,2005
6.0,Cécile Telerman,"['Jérôme Soubeyrand', 'Cécile Telerman']",-,105,Comedia,tout pour plaire,2005
4.3,Kjell Sundvall,Sara Heldt,A single father is more occupied with his race horse than his daughter.,85,Comedia,vinnare och förlorare,2005
5.1,James Huth,"['Karine Angeli', 'Jean Dujardin', 'James Huth']",-,98,Comedia,brice de nice,2005
5.3,Vincent De Brus,"['Jacques BesnardÉric Besnard', 'Arnaud Lemort']","Jacques-Alain Marty, known as Jam, is the boss of Vladis Entreprises, a large French multi-pole group. Everything works for him, but for the past few weeks, Jam has not been in his normal state.",107,Comedia,l'antidote,2005
3.8,Jonas Kvist Jensen,"['Kim Sønderholm', 'Jonas Kvist Jensen', 'Claus Lund']","Michael and Jim are contemplating a change of career, but something comes in the way..",87,Comedia,brutal incasso,2005
3.8,Laurent Firode,"['Jean-Marie Chevret', 'Laurent Firode']","Keeper of prison, Alex is offered a strange deal by one of the detainees.",99,Comedia,quartier v.i.p.,2005
7.4,Mark Levin,Jennifer Flackett,A 10-year-old boy and an 11-year-old girl find love in New York City.,84,Comedia,little manhattan,2005
3.4,"['Don E. Faunt', 'Le', 'Roy']","['Ria Coyne', 'Peter Evans', 'Robert Nashak']","Four women - a blonde, a hippie, a lesbian and a barmaid - are looking for love, money and success. When one inherits an Italian restaurant from her father, they see this as a chance to fulfil their dreams. Then the restaurant is in danger of closing down - and the girls pull out all the stops to save it.",88,Comedia,seven days of grace,2006
6.7,José Fonseca e Costa,"['João Constâncio', 'José Fanha', 'José Fonseca e Costa']","Ana Catarina returns home to marry a man she doesn't know. A terrible coincidence happens when, on the same day, the young woman becomes a widow and an orphan, which leaves her heir to a fortune and coveted by the aristocrats in the region",135,Comedia,viúva rica solteira não fica,2006
