puntuacion_imdb,direccion,guion,argumento,genero,duracion,titulo,anio
5.8,Patrick Hughes,"['Robbie Fox', 'Chris Bremner', 'Jason Blumenthal']",-,110,Comedia,the man from toronto,2022
6.2,Alain Guiraudie,"['Alain Guiraudie', 'Laurent Lunetta']",-,100,Comedia,viens je t'emmène,2022
4.4,Rana Ranbir,Rana Ranbir,"Stray, poor, idle, addicted common people can be found easily around us. The politicians and system treat them as puppets. Such people are not considered as human beings. Most of their questions can't be solved but they themselves are a big question for society. These ""unimportan... Leer todo",126,Comedia,posti,2022
5.2,Daniel Guzmán,Daniel Guzmán,-,96,Comedia,canallas,2022
6.8,"['Paloma Baeza', 'Emma De Swaef', 'Niki Lindroth von Bahr']","['Enda Walsh', 'Emma De Swaef', 'Marc James Roels']",-,97,Comedia,the house,2022
5.2,Alina Bukhtiyarova,-,-,112,Comedia,pohrabuvannya po-ukrayinsky,2022
-,Nadja Verena Marcin,Nadja Verena Marcin,"The feature film ""Pocahontas Returns"" explores lost values inside our contemporary world and the search for ancient wisdom via the mise-en-abyme of hypermodern New York and neo-baroque Santa Cruz in Bolivia via an interracial love story blended with Telenovela and performance art... Leer todo",90,Comedia,pocahontas returns,2022
6.4,Jamie Adams,Jamie Adams,It is based on the classic British stage farce and a comedy of misunderstandings centered around a relationship break up and a painting which is called Venice at Dawn.,-,Comedia,venice at dawn,2022
-,-,-,-,-,Comedia,molly bling bling,2022
6.5,Anne de Clercq,"['Marjolein Beumer', 'Anne de Clercq', 'Eddy Terstall']","Sophie finally seems to have her life back on track. She's happy, her restaurant is booming and her kids are ready to leave the nest. As usual, Sophie tries to keep way too many balls in the air at the same time. Then she get's some bad news at the same time her daughter Sacha co... Leer todo",111,Comedia,soof 3,2022
6.5,Edoardo Leo,"['Marco Bonini', 'Damiano BruèEdoardo Leo']",A romantic comedy about how hard it is to separate after many years of living together.,112,Comedia,lasciarsi un giorno a roma,2022
-,Rob Schneider,Patricia Maya Schneider,"Enrique Juarez is an up-and-coming Mexican Telenovela actor on the verge of becoming a leading man, that has to hide his true self in order to achieve stardom.",-,Comedia,amor es amor,2022
2.4,Ahmed Khan,"['Rajat Arora', 'Sajid Nadiadwala']","Babloo Ranawat, a genius hacker, is tasked with tracking down Laila, the mastermind behind the world's largest cyber-crime yet to occur. Will Babloo be able to stop him?",145,Comedia,heropanti 2,2022
6.7,Sukhminder Dhanjal,Sukhminder Dhanjal,Nishana is an action packed drama story about two unemployed young boys from different villages who are frustrated from life. They come to a railway track for committing suicide. On railway track they becomes friends but unfortunately being arrested by police before committing su... Leer todo,147,Comedia,nishana,2022
6.0,Anne Fletcher,"[""Jen D'Angelo"", 'David Kirschner', 'Blake Harris']",-,103,Comedia,hocus pocus 2,2022
8.5,Colin Taylor,"['Colin Taylor', 'Louie Visone']","When childhood best friends, Kyle, Steven, and Ruben are forced to perform in a music festival, conflicting priorities and visitors from the boys' past push their friendship to the breaking point.",84,Comedia,chicken strips: the trials and tribulations of becoming a garage band,2022
4.7,Jose Corral,"['Nicolás Britos', 'Jose Corral']",-,110,Comedia,contando ovejas,2022
7.0,Harshavardhan Kulkarni,"['Suman Adhikary', 'Akshat Ghildial', 'Harshavardhan Kulkarni']",Shardul Thakur Flaglot and Suman Singh enter into a marriage of convenience but chaos ensues when her unhinged girlfriend comes to stay with them.,147,Comedia,badhaai do,2022
5.3,Jay Chandrasekhar,"['Kate Angelo', 'Ken Cheng']",-,96,Comedia,пасхальное воскресенье,2022
7.7,Michael Glover Smith,Michael Glover Smith,"As various members of the Frank family come together for a college graduation party in Chicago, they find their bonds being tested, and strengthened, in surprising ways.",97,Comedia,relative,2022
6.8,B.J. Novak,B.J. Novak,-,107,Comedia,vengeance,2022
-,Simon Vanko,-,-,82,Comedia,doppelte rückzahlung,2022
6.7,Tommy Wirkola,"['Pat Casey', 'Josh Miller']",-,112,Comedia,violent night,2022
3.4,Enes Ates,Enes Ates,"Emirhan is the 13-year-old son of Sedat Yilmaz who works as a security chief at a shopping mall. He dreams of spending a night at the mall and playing VR games with his friends from the hood, Ege and Berkcan.",86,Comedia,afacanlar: is basa düstü,2022
5.2,Nicolás Di Cocco,"['Nicolás Di Cocco', 'Sebastián Rotstein']","Ricardo Darring is a moderately successful theatre director/actor. He staged some memorable plays a long time ago. Lack of the ideas for his writings and debts lead Ricardo to accept a proposal from a childhood friend, now mayor of his hometown Jorge Salcedo. On the occasion of t... Leer todo",-,Comedia,vuelta al perro,2022
-,-,"['Bianca Allaine', 'Michael Kyne']",Dark horror comedy with a twist.,-,Comedia,ybas,2022
-,Matt Kwiatkowski,Matt Kwiatkowski,"Lt. Matt McCarthy and Det. Adam Willis are BACK. This time, they're on a mission to stop corruption within the Cheboygan Police Dept with a twist you DON'T wanna miss.",83,Comedia,it's a cop thing 2 the last laugh,2022
6.5,Sara Sugarman,"['Piers Ashworth', 'Lorraine King']",-,109,Comedia,save the cinema,2022
8.3,Michelle Ehlen,Michelle Ehlen,"In the midst of separating from her wife, Jay attempts to move across the country to start her life over again as she grapples with the inevitable cycles of love, loss, and everything in between.",91,Comedia,maybe someday,2022
5.4,Gabriela Sobarzo,"['Mirella Granucci', 'Aníbal Herrera']","This movie is about two widowed parents that have been overprotecting their kids from the age of 10 (when they lost their parent) to present time. This parents do the unimaginable with the only purpose of not watching them suffer, Francisca with his son Alejandro and Gonzalo with... Leer todo",-,Comedia,malcriados,2022
6.2,"['Sharan Art', 'Waseem Ahmed']","['Randeep Chahal', 'Deep Jagdeep Jaedy']","Galwakdi is a Punjabi Movie that is full of Comedy and Romance with Drama and Emotionalness in time of a new start of The New Year Weekend for 2022, Starring: Wamiqa Gabbi, Tarsem Jassar, and B.N. Sharma.",130,Comedia,galwakdi,2022
4.7,Ernesto Sevilla,"['Jorge López Ania', 'Raúl Cimas', 'Miguel Esteban']",-,90,Comedia,"camera café, la película",2022
-,Geordy Skolnick,Geordy Skolnick,Lily is an office executive with her life still in shambles. Dante just longs for the days when sinning was much simpler. One wild evening. The Devil wears a black velvet sports jacket and skinny jeans in this outrageous dark comedy film.,-,Comedia,horny,2022
7.9,Eddie Vigil V,Ryan Willer,Two grocery store workers from different districts meet and end up spending time with each other over a weekend after the store they're assigned to open in another town shuts down unexpectedly.,98,Comedia,something good coming,2022
5.6,Jesse Eisenberg,Jesse Eisenberg,-,88,Comedia,when you finish saving the world,2022
5.8,Steve Wollett,"['Raymond Biddle', 'Steve Wollett']",-,80,Comedia,jack be nimble,2022
6.7,Peter Sollett,D.B. Weiss,-,97,Comedia,metal lords,2022
7.8,Christopher Picone,"['Robert Dibella', 'Veronica Gail', 'Saima Huq']","In October 2012, widower and convenience mart owner Kunal Lahiri wishes to retire and bequeath his property in Queens to his three grown children, as New York City braces for Superstorm Sandy.",-,Comedia,king lahiri,2022
7.0,Karoline Herfurth,"['Monika Fäßler', 'Karoline Herfurth', 'Lena Stahl']",-,132,Comedia,wunderschön,2022
5.6,Giovanni Ciccia,Guillermo Amoedo,"When a man tells his friends that he is gay and asks for the appropriate emotional support, one of them, the most conservative, decides to try to reverse the situation. From there, a series of comic situations are unleashed that will take the group through different emotional sta... Leer todo",-,Comedia,cosas de amigos,2022
-,Tom Knoblauch,"['Will Forget', 'Tom Knoblauch']",A former child actor returns to his hometown to accept an award and revitalize his image as a beloved son of the Heartland.,85,Comedia,moving parts,2022
6.4,Riccardo Milani,"['Furio Andreotti', 'Giulia Calenda', 'Riccardo Milani']",-,113,Comedia,corro da te,2022
-,"['Lucas Noël', 'Tristan Noël']","['Lucas Noël', 'Tristan Noël']","A group of environmental activists is trying, by unexpected means, to change the political line of a leader of a big bank.",-,Comedia,volta,2022
