,puntuacion_imdb,direccion,guion,argumento,duracion,titulo,anio;;;;;
"95,6.1,Nicolas Wadimoff,""['Nicolas Wadimoff', 'Moussa Maaskri', 'Louis Bélanger']"",""Une station-service au bord de l'autoroute. Abdou, jeune fugueur, se lie d'amitié avec Georges, le pompiste Arabe. Georges profite d'une ultime et violente dispute avec son patron pour plaquer son boulot et accompagner le petit Abdou jusqu'à Marseille. L'enfant souhaite y voir un match de la coupe du monde de football. La tête pleine de rêves et les poches vides, ils ... Leer todo"",100,mondialito,2000";;;;;
96,3.5,Edward Thomas,James Hawes,Pete in London inherits a company. The ambitious accountant makes a deal with a Russian mafia boss. The Russian wants hard currency and grand-kids but kills his daughter's lovers. His daughter needs an Englishman like Sir Francis Drake.,91,rancid aluminium,2000;;;;;
"97,6.1,Orion Walker,""['Richard Zangrande Gaubert', 'Orion Walker']"",-,90,dean quixote,2000";;;;;
"98,5.6,Mike Nichols,""['Garry Shandling', 'Michael Leeson', 'Ed Solomon']"",A human-looking alien from a highly advanced but emotionless all-male society is sent to Earth to impregnate a woman and bring the child back to their planet. The alien ends up falling in love there. A suspicious F.A.A. Agent targets him.,105,what planet are you from?,2000";;;;;
"99,6.3,Bruno Barreto,""['Alexandre Machado', """"Sérgio Sant'Anna"""", 'Fernanda Young']"",A separated attorney in Rio sees an English teaching American widow and tries to woo her.,95,bossa nova,2000";;;;;
"100,5.9,Kenneth Branagh,""['William Shakespeare', 'Kenneth Branagh']"",-,93,love's labour's lost,2000";;;;;
"101,4.3,Frédéric Jardin,""['Edouard Baer', 'Frédéric Jardin', 'Fabrice Roger-Lacan']"",""The Sister bros have big ambitions in the showbiz.They have sent their """"invaluable """" screenplay for months to countless producers ,to no avail ";"so when the last producer turns their offer down ,they blackmail him : they film him with his mistress in a hotel room and threaten him: the video cassette could be sent to his wife and her wealthy dad ,or ,worse,shown on inte... Leer todo"",95,les frères soeur,2000";;;;
102,5.5,John D. Hancock,Dorothy Tristan,-,106,a piece of eden,2000;;;;;
"103,5.9,Matthew Miele,""['Chris Fetchko', 'Matthew Miele']"",A homeless man takes a newly homeless man under his wing and teaches him how to survive on the streets.,92,everything's jake,2000";;;;;
"104,6.4,Mark Lamprell,Mark Lamprell,""When a meddlesome mother enrolls in university with her son, old and new worlds collide with awesome consequences."",95,my mother frank,2000";;;;;
"105,6.6,Fred Parnes,Fred Parnes,""The lives of two unambitious duplex neighbors, divorced father, hot-tempered, blues-obsessed documentarian Roper and wealthy golf-playing wastrel Andy, are compared. Both have loved ones who want them to do something with their lives."",110,a man is mostly water,2000";;;;;
"106,6.6,""['Bobby Farrelly', 'Peter Farrelly']"",""['Peter Farrelly', 'Mike Cerrone', 'Bobby Farrelly']"",-,116,""me, myself & irene"",2000";;;;;
107,5.7,Craig Mazin,James Gunn,The sixth or seventh best superhero team in the world pursue their rightful place in the harshly competitive world of toy tie-ins and fighting evil.,82,the specials,2000;;;;;
108,7.9,Cameron Crowe,Cameron Crowe,-,122,almost famous,2000;;;;;
