,0,1,2,3,4,5,6
1169,-,Hussam Alhulwah,Hussam Alhulwah,The short is a one-shot comedy that looks at the stillness of conformism and the stirring nature surrounding rebellion.,3,mabbi,mabbi
1170,-,Can Fakioglu,Oky,Story of three flatmates living in notorious neighborhood 'Cihangir' in Istanbul.,13,cihangir'de bi ev,cihangir'de bi ev
1171,-,"['Jeremiah Mc', 'Donald']","['Jean Lambert-Wild', 'Jeremiah Mc', 'Donald']",A man attempts to prepare cereal and finds himself disappearing into a dream.,2,honibloom dreams,honibloom dreams
1172,-,Igor Osmolovskiy,Igor Osmolovskiy,"A village girl wants a better live life and is searching in the internet for a foreign groom, rejecting all offers of local guys. At last she finds a groom from Germany. She leaves to Germany. But does she get what she want?",30,provincial,provincial
1173,-,Maureen Bradley,Maureen Bradley,-,8,pants on fire,pants on fire
1174,-,Juan Ignacio Martín Blázquez,Juan Ignacio Martín Blázquez,-,2,the pretender,the pretender
1175,-,Juan Ignacio Martín Blázquez,Juan Ignacio Martín Blázquez,-,2,me siento rara,me siento rara
1176,-,Juan Ignacio Martín Blázquez,Juan Ignacio Martín Blázquez,-,2,no pienso ir,no pienso ir
1177,-,Abdulmohsen Aldhabaan,Abdulmohsen Aldhabaan,Three scriptwriters attempt to attract a leading celebrity to star in their upcoming project.,13,three men and a woman,three men and a woman
1178,-,David Albala,-,-,-,elevation,elevation
1179,-,Tim Morten,Tim Morten,A man tries to flirt with an unreceptive woman on a park bench.,4,the flirt,the flirt
