puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,2.2,A. Raven Cruz,A. Raven Cruz,"When ""The One"" dies, Orpheum must find the ""Other One.""",97,Accion,the helix... loaded,tt0401462
12,5.1,Bruce Hunt,"['Michael Steinberg', 'Tegan West']",-,97,Accion,the cave,tt0402901
,4.3,Steve Boyum,"['Ken Solarz', 'Bart Baker', 'Keith Alan Bernstein']",-,80,Accion,supercross,tt0403016
57,6.4,Tony Giglio,Tony Giglio,-,106,Accion,chaos,tt0402910
14,4.5,Damon Dash,"['Blue Moreno', 'Damon Dash']","Three Philadelphia-based gangstas -- Beans, Dame and Loco -- are on a collision course with one another for turf. Alliances are forged and broken and lifelong friendships end in violence as each crime lord schemes to get the upper hand.",94,Accion,state property 2,tt0403537
,6.3,Jon Favreau,"['Chris Van Allsburg', 'David Koepp', 'John Kamps']",-,101,Accion,zathura: a space adventure,tt0406375
90,5.2,"['Shinji Higuchi', 'Cellin Gluck']","['Harutoshi Fukui', 'Satoshi Suzuki']",A drama set during World War II where a submarine carrying a secret weapon attempts to stop a planned third atomic bombing of Japan. Based on Harutoshi Fukui's novel Shuusen no Lorelei.,128,Accion,lorelei,tt0406941
,4.2,Eduardo Barraza,Adolfo Franco,-,111,Accion,la sombra del sahuaro,tt0407214
76,6.5,Steven Spielberg,"['Josh Friedman', 'David Koepp', 'H.G. Wells']",-,116,Accion,war of the worlds,tt0407304
36,3.9,Dmitriy Fiks,"['Elena Karavaeshnikova', 'Chris Sturgeon', 'Sergey Fiks']","In the midst of World War 2, intelligence services from England, Germany and Russia collided in a fierce fight for the mind of Nicky Raus, a genius German Jewish scientist who has been developing a powerful state-of-the-art secret weapon.",88,Accion,the second front,tt0407297
,3.6,John Alexander Jimenez,"['Wayne Wallace', 'John Alexander Jimenez']","Based on actual events, the action film Fugitive Hunter offers a look at what life was like for the men and women who engaged in this profession before the laws changed dramatically at the turn of the 21st century.",88,Accion,fugitive hunter,tt0407761
78,7.5,Steven Spielberg,"['Tony Kushner', 'Eric Roth', 'George Jonas']",-,164,Accion,munich,tt0408306
40,5.7,Alex Alamul,Natalie Zhivolup,"Robbery. Murder. Rape. All in a days work for a young psychopath. But his latest hostage isn't exactly an angel either. Blackmailing her neighbor to cure him of cheating on his wife turns out to be not such a good idea. As Martin cuts a bloody swath through the back roads of the San Francisco Bay Area with Jennifer in tow, two S.F. Homicide detectives race the clock t... Leer todo",-,Accion,wrong turn,tt0408852
,3.7,Neil Oseman,"['James Clarke', 'Neil Oseman']","Street sweeper Joe Fallow is approached by the ailing Grim Reaper who offers to train him as his replacement, becoming the new 'face of death'. Elsewhere in town, an evil force threatens to merge the worlds of Hell and Earth into one. And only Joe, assisted by an enigmatic supernatural bounty-hunter, can stop it from happening.",98,Accion,soul searcher,tt0410648
16,3.3,Ellory Elkayem,"['William Butler', 'Aaron Strongoni']","A group of teenagers, in an attempt to rescue their friend from an evil corporation, end up inadvertently releasing a horde of bloodthirsty zombies.",88,Accion,return of the living dead: necropolis,tt0411805
,7.8,Michael Urnikis,Michael Urnikis,"A desperate prostitute seduces Trent, a recently released ex-con, to help her escape her pimp. Only things go horribly wrong when Trent tries to buy her from her pimp and things get violent.",123,Accion,black days,tt0411168
,3.8,Jonas Kvist Jensen,"['Kim Sønderholm', 'Jonas Kvist Jensen', 'Claus Lund']","Michael and Jim are contemplating a change of career, but something comes in the way..",87,Accion,brutal incasso,tt0412498
,5.4,Emilio Ferrari,Emilio Ferrari,Five teenagers on a trip get caught up in a murder triangle and must survive to escape the snow filled mountains.,90,Accion,i know what you did last winter,tt0415864
64,5.5,"['Anubhav Sinha', 'Maqbool Khan']","['Yash Gawli', 'Yash Keswani', 'Anubhav Sinha']",A team of specialists must catch a terrorist before he carries out an attack.,152,Accion,dus,tt0415768
,5.8,Aleksey Sidorov,Aleksey Sidorov,"A boxer, blinded after the lost fight, decides to steal money for operation from his manager, who forsaken him.",132,Accion,boy s tenyu,tt0415678
52,5.1,Mikey Hilb,Steven Sessions,"A coming of age story about a teenager working at an extreme sports camp as a dishwasher and his relationship with the chef, who we come to find out was a skateboarding pioneer back in the day. Set at a fully operational extreme sports camp in Temecula, CA called Point X Camp.",90,Accion,dishdogz,tt0416688
33,4.6,Vikram Bhatt,"['Robin Bhatt', 'Vikram Bhatt']","Modern day secular India is held at ransom by international extortionist, Baba Sikiander and his brothers, Aftab and Sameer.",159,Accion,elaan,tt0416712
17,3.1,Fred Olen Ray,"['Lisa Morton', 'Brett Thompson']",-,90,Accion,glass trap,tt0416775
69,7.1,Fedor Bondarchuk,"['Iskander Galiev', 'Yuriy Korotkov']",-,139,Accion,9th company,tt0417397
,6.8,Jamil Nelson,Jamil Nelson,-,-,Accion,internetrix,tt0417795
,5.6,Kaige Chen,"['Kaige Chen', 'Tan Cheung']","Empowered by the love of a slave (Jang), a royal concubine (Cheung) is given the chance to make an extraordinary decision.",121,Accion,the promise,tt0417976
,5.1,Johannes Jaeger,Johannes Jaeger,"Welcome to the future. Civilization has been obliterated by natural catastrophes and global economic collapse. In the rotting skeletons of once great cities, the remnants of mankind struggle to survive under the brutal reign of vicious warlords who rule by fear and the power of the fist. The only hope for a courageous band of street urchins is the brave fighter Jonas,... Leer todo",102,Accion,kampfansage - der letzte schüler,tt0417844
18,5.2,Andrzej Bartkowiak,"['Dave Callaham', 'Wesley Strick']",-,105,Accion,doom,tt0419706
,4.2,Othman Abo Labn,Ahmed El-Beh,group of friends helping their friend to start her project in sharm el sheikh,-,Accion,ahlam omrena,tt0418458
60,7.0,Sam Mendes,William Broyles Jr.Anthony Swofford,-,125,Accion,jarhead,tt0418763
,2.5,"['Thomas Frydetzki', 'Annette Stefan']","['Wilhelm Busch', 'Thomas Frydetzki', 'Laurens Straub']","Max and Moritz are two brothers living a life of petty crime. After the two boys steal a car, they are sent to a boot camp; stole another car and when they acquire the key to their military school's ordinance depot, things start to change.",87,Accion,max und moritz reloaded,tt0418873
,5.7,Gérard Pirès,"['Gilles Malençon', 'Gérard Pirès', 'Jean-Michel Charlier']",-,102,Accion,les chevaliers du ciel,tt0421974
33,5.9,Tony Scott,"['Richard Kelly', 'Steve Barancik']",-,127,Accion,domino,tt0421054
0,2.8,Nick Vallelonga,Nick Vallelonga,A serial killer is let loose to hunt down and kill alien beings who can only survive by inhabiting human bodies,93,Accion,choker,tt0421983
,2.8,"['Lou Angeli', 'Bill Lewis']",Nhu Ha Le,-,92,Accion,keson,tt0425166
,1.9,"['Sarah Nean Bruce', 'Eduardo Durão']","['Karrie Melendrez', 'Sherri Strain', 'Michael David Stewart']","After defeating Dracula, Van Helsing is granted immortality by the church to pursue and eradicate vampires from the face of the earth. His hunt leads him to a bloody showdown between his slayers and an army of demons.",82,Accion,way of the vampire,tt0423515
,3.7,Robert Rodriguez,"['Robert Rodriguez', 'Marcel Rodriguez', 'Racer Rodriguez']",-,93,Accion,the adventures of sharkboy and lavagirl 3-d,tt0424774
48,3.5,Sidney J. Furie,Greg Mellott,A group of U.S. soldiers defy their country when they release mistreated prisoners.,103,Accion,american soldiers,tt0425743
55,6.2,John Gulager,"['Patrick Melton', 'Marcus Dunstan']",-,95,Accion,feast,tt0426459
,5.9,Zsombor Dyga,"['Zsombor Dyga', 'Balázs Lovas']",Probably in our world there are no coincidences but then we have to admit that up there a lot of beings could be working overtime. And here in our place in the left corner of the lukewarm suburb they are really doing their best.,74,Accion,kész cirkusz,tt0426073
,7.0,Prachya Pinkaew,"['Napalee', 'Piyaros Thongdee', 'Joe Wannapin']",-,111,Accion,honour of the dragon,tt0427954
,5.7,Dustin Rikert,Dustin Rikert,-,-,Accion,the nowhere man,tt0428897
,6.1,Hark Tsui,"['Yusheng Liang', 'Hark Tsui', 'Chi-Sing Cheung']",Seven warriors come together to protect a village from a diabolical General.,153,Accion,qi jian,tt0429078
,5.3,Vasiliy Chiginskiy,"['Ilya Avramenko', 'Igor Evsukov']","The film is based on the true story of Captain Marinesku and set in 1944 during WWII at the Russian Navy Base. Young and beautiful Tanka is in love with Aleksandr Marinin, the brave Captain of the Russian submarine. He is under the KGB surveillance, and his life is at risk. He takes his boat to fight the Nazi fleet, and he cannot come back home without a victory.",99,Accion,pervyy posle boga,tt0430264
53,6.8,John Singleton,"['David Elliot', 'Paul Lovett']",-,109,Accion,four brothers,tt0430105
,-,Bill Regan,"['Bill Regan', 'Michael Weber']",-,-,Accion,the adventures of buster smith,tt0429537
,5.7,V.V. Vinayak,"['V.V. Vinayak', 'Rajendra Kumar']","Prior to his marriage, a young man asks for the property of his fiancee's father, a millionaire, to be written in his name.",139,Accion,bunny,tt0432090
24,4.8,William Tannen,Bruce Haskett,A detective comes to the aid of an aged diamond cutter.,97,Accion,the cutter,tt0432267
82,7.6,Ram Gopal Varma,"['Manish Gupta', 'Sarim Momin']","Subhash Nagre runs a parallel government in the city where he has a cult following. When his enemies plot to murder him, his son takes charge and stands up against them.",124,Accion,sarkar,tt0432047
,4.6,Sreenu Vaitla,"['Bhupati Raja', 'Sreenu Vaitla', 'Kona Venkat']",Govindarajulu (Chiranjeevi) is a labor leader who enjoys life in his own entertaining way. His son Siddardh (Chiranjeevi) heads a popular TV channel. Govindarajulu raises his son Siddardh on his own as his wife dies when Siddardh was a kid. Siddardh and Swetha (Rimmi Sen) fall in love. They get married. But Swetha has a secret mission of separating father and son. The... Leer todo,162,Accion,andarivaadu,tt0431776
,6.2,Shûsuke Kaneko,"['Yû Koyama', 'Mataichirô Yamamoto', 'Yoshiaki Kawajiri']","Young assassins Azumi and Nagara continue their mission to prevent a civil war. In their hunt for Masayuki Sanada, who is protected by both an army and a dangerous clan, they meet Ginkaku, a person who shows a remarking resemblance with former friend Nachi.",108,Accion,azumi 2: death or love,tt0431641
0,2.6,Martin Munthe,Mat Nastos,"The USS Newark has been lost at sea, carrying top-secret cargo from experimental military project. Finally, the submarine is discovered sixty miles off the coast of California.",97,Accion,stinger,tt0431418
48,6.8,David Ayer,David Ayer,-,116,Accion,harsh times,tt0433387
,6.0,Kang Woo-suk,Jin Jang,A public prosecutor looks to bring down a corrupt public official.,148,Accion,gonggongui jeog 2,tt0433328
