,0,1,2,3,4,5,6
119,2.7,Dustin Rikert,"['Jeff Wright', 'Robert Yap']",A sexy and lethal female mercenary takes on an international syndicate of weapons smugglers run by the Russian Mafia.,90,lethal,lethal
120,7.3,Noah Baumbach,Noah Baumbach,-,81,the squid and the whale,the squid and the whale
121,5.6,Shep Salusky,Shep Salusky,"The movie is an actor-driven psychological thriller with a surprise twist, shot on three main locations over the course of two and a half weeks.",-,the greenan tapes,the greenan tapes
122,7.1,John Maybury,"['Tom Bleecker', 'Marc Rocco', 'Massy Tadjedin']",-,103,the jacket,the jacket
123,5.8,Albertina Carri,"['Albertina Carri', 'Santiago Giralt']",-,85,géminis,géminis
124,7.0,Lajos Koltai,Imre Kertész,"14-year-old György's life is torn apart in WWII Hungary, as he is deported first to Auschwitz and then to Buchenwald, where he is forced to become a man in the midst of hatred, and what it really means to be Jewish.",140,sorstalanság,sorstalanság
125,5.0,Michael J. Jacobs,Robin Christian,"When Clay has to move away from his friends and the bright lights of New York City, he's far from happy. He soon finds comfort and friendship with his new dog, Sheeba. Sheeba follows Clay everywhere as he explores his new surroundings and makes friends. But not everyone is interested in welcoming this newcomer and Clay soon finds himself having to deal with Wax, the t... Leer todo",90,crab orchard,crab orchard
126,6.7,Susanne Irina Zacharias,"['Ivan Dimov', 'Sarah Eßer']","Ben is in his early 20s and lives with Karl, his overweight, unemployed father, in a prefabricated housing estate in Halle. Ben's dream is to one day travel the world and write about it.",83,hallesche kometen,hallesche kometen
127,6.3,Cameron Crowe,Cameron Crowe,-,123,elizabethtown,elizabethtown
128,4.0,Carl T. Evans,Carl T. Evans,"A small group of friends are faced with the sudden tragic death of one of their own when he commits suicide, leaving the remaining six in a free-fall of attempting to find out why.",94,walking on the sky,walking on the sky
129,6.4,Julian Fellowes,"['Nigel Balchin', 'Julian Fellowes']",A couple's marriage is complicated by the introduction of a third party.,85,separate lies,separate lies
130,7.7,Darko Mitrevski,Darko Mitrevski,"A Macedonian military deserter and his Italian blood-brother are searching for a dead grandmother wrapped up in a stolen carpet, all over the Balkan's criminal underworld.",89,bal-kan-kan,bal-kan-kan
131,3.8,Bobby Guions,Bobby Guions,"Mark is a young assassin hired to take out members of a large drug syndicate. But, he bumps into a mysterious woman and falls for her. Instead of just doing his job Mark throws caution into the wind and breaks all the rules of an assassin to meet her. Now, he finds himself caught between love and a group of assassins hired to take him out.",90,dinner with an assassin,dinner with an assassin
132,3.9,Andrew Putschoegl,"['Corey Large', 'Kyle Kramer']","An aimless playboy returns to his hometown for his best friend's wedding, only to find that the bride is his high school sweetheart.",87,window theory,window theory
133,7.7,Barbara Ricci,Barbara Ricci,-,-,bocce balls,bocce balls
134,3.8,Brian Yuzna,"['Matthew Costello', 'Mike HostenchÁngel Sala']",-,96,beneath still waters,beneath still waters
135,6.7,Marc Forster,David Benioff,-,99,stay,stay
136,5.8,Craig Chester,Craig Chester,Follows two New York city couples -- one heterosexual and one gay who explore the peaks and the valleys of their respective relationships.,99,adam & steve,adam & steve
137,5.0,Matt Farnsworth,Matt Farnsworth,"A cautionary tale of love, crime, fantasy and addiction that follows two young Iowan lovers who decide to go into the ""batch"" business - cooking their own methamphetamine - only to watch it burn a searing hole in their lives.",104,iowa,iowa
138,4.1,Luis de la Madrid,"['Jaume BalagueróManu Díaz', 'Elena Serra']",-,101,la monja,la monja
139,8.2,Christopher Nolan,"['Bob Kane', 'David S. Goyer', 'Christopher Nolan']",-,140,batman begins,batman begins
140,5.3,Alexander Bulkley,"['Alexander Bulkley', 'Kelly Bulkley']",-,158,the zodiac,the zodiac
141,5.3,Rebecca Bagley-Cook,Rebecca Bagley-Cook,"A dark psychological drama, Shooting Livien explores the inner psyche of John Livien, a disillusioned New York musician who deals with a childhood trauma by claiming an alter ego. His band on the brink of success, fantasy becomes dangerously blurred with reality as Livien struggles with his identity crisis. At the peak of his insanity Livien decides to take his dement... Leer todo",90,shooting livien,shooting livien
142,7.7,Antonia Scarpa,"['Antonia Scarpa', 'Susan M. Campbell']",A family comes to terms and a brother and sister who must depend on each other to find strength.,89,grace,grace
143,6.4,Atom Egoyan,"['Atom Egoyan', 'Rupert Holmes']",-,107,where the truth lies,where the truth lies
144,7.3,Marcelo Gomes,"['Karim Aïnouz', 'Paulo Caldas', 'Marcelo Gomes']",A road movie about a German man who went to the Northeast of Brazil in 1942 to sell Aspirin.,99,cinema aspirinas® e urubus,cinema aspirinas® e urubus
145,5.5,"['Andrew Wilson', 'Luke Wilson']",Luke Wilson,Luke Wilson plays a good-hearted ex-con who gets a job in a retirement hotel. Three elderly residents help him win back his girlfriend as he lends them a hand in fighting hotel corruption.,99,the wendell baker story,the wendell baker story
146,4.4,Marcos Siega,"['Brent Goldberg', 'David Wagner', 'Nick Cannon']",A young detective goes undercover at an elite private school to destroy an international stolen car ring.,95,underclassman,underclassman
147,-,-,-,Ver la información de la producción en IMDbPro,-,angel in the moon,angel in the moon
148,7.3,Andrucha Waddington,"['Elena Soarez', 'Luiz Carlos Barreto', 'Andrucha Waddington']","A woman is taken along with her mother in 1910 to a far-away desert by her husband, and after his passing, is forced to spend the next 59 years of her life hopelessly trying to escape it.",115,casa de areia,casa de areia
149,5.8,"['Sergei Bodrov', 'Ivan Passer']",Rustam Ibragimbekov,"A historical epic set in 18th-century Kazakhstan, where a young man is destined to unite the country's three warring tribes.",112,köshpendiler,köshpendiler
150,6.9,Dzhanik Fayziev,Boris Akunin,The film is based on the second book from the Adventures of Erast Petrovich Fandorin series of novels written by the Russian author Boris Akunin. The film takes place in 1877 during the Russian-Turkish war. Erast Fandorin has just escaped from Turkish prison and is trying to get on the Russian side as soon as possible to give important information about the upcoming a... Leer todo,208,turetskiy gambit,turetskiy gambit
