puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
5.8,Aleksey Sidorov,Aleksey Sidorov,"A boxer, blinded after the lost fight, decides to steal money for operation from his manager, who forsaken him.",132,Accion,boy s tenyu,2005
5.1,Mikey Hilb,Steven Sessions,"A coming of age story about a teenager working at an extreme sports camp as a dishwasher and his relationship with the chef, who we come to find out was a skateboarding pioneer back in the day. Set at a fully operational extreme sports camp in Temecula, CA called Point X Camp.",90,Accion,dishdogz,2005
4.6,Vikram Bhatt,"['Robin Bhatt', 'Vikram Bhatt']","Modern day secular India is held at ransom by international extortionist, Baba Sikiander and his brothers, Aftab and Sameer.",159,Accion,elaan,2005
3.1,Fred Olen Ray,"['Lisa Morton', 'Brett Thompson']",-,90,Accion,glass trap,2005
7.1,Fedor Bondarchuk,"['Iskander Galiev', 'Yuriy Korotkov']",-,139,Accion,9th company,2005
6.8,Jamil Nelson,Jamil Nelson,-,-,Accion,internetrix,2005
5.6,Kaige Chen,"['Kaige Chen', 'Tan Cheung']","Empowered by the love of a slave (Jang), a royal concubine (Cheung) is given the chance to make an extraordinary decision.",121,Accion,the promise,2005
5.1,Johannes Jaeger,Johannes Jaeger,"Welcome to the future. Civilization has been obliterated by natural catastrophes and global economic collapse. In the rotting skeletons of once great cities, the remnants of mankind struggle to survive under the brutal reign of vicious warlords who rule by fear and the power of the fist. The only hope for a courageous band of street urchins is the brave fighter Jonas,... Leer todo",102,Accion,kampfansage - der letzte schüler,2005
5.2,Andrzej Bartkowiak,"['Dave Callaham', 'Wesley Strick']",-,105,Accion,doom,2005
4.2,Othman Abo Labn,Ahmed El-Beh,group of friends helping their friend to start her project in sharm el sheikh,-,Accion,ahlam omrena,2005
7.0,Sam Mendes,William Broyles Jr.Anthony Swofford,-,125,Accion,jarhead,2005
2.5,"['Thomas Frydetzki', 'Annette Stefan']","['Wilhelm Busch', 'Thomas Frydetzki', 'Laurens Straub']","Max and Moritz are two brothers living a life of petty crime. After the two boys steal a car, they are sent to a boot camp; stole another car and when they acquire the key to their military school's ordinance depot, things start to change.",87,Accion,max und moritz reloaded,2005
5.7,Gérard Pirès,"['Gilles Malençon', 'Gérard Pirès', 'Jean-Michel Charlier']",-,102,Accion,les chevaliers du ciel,2005
5.9,Tony Scott,"['Richard Kelly', 'Steve Barancik']",-,127,Accion,domino,2005
2.8,Nick Vallelonga,Nick Vallelonga,A serial killer is let loose to hunt down and kill alien beings who can only survive by inhabiting human bodies,93,Accion,choker,2005
2.8,"['Lou Angeli', 'Bill Lewis']",Nhu Ha Le,-,92,Accion,keson,2005
1.9,"['Sarah Nean Bruce', 'Eduardo Durão']","['Karrie Melendrez', 'Sherri Strain', 'Michael David Stewart']","After defeating Dracula, Van Helsing is granted immortality by the church to pursue and eradicate vampires from the face of the earth. His hunt leads him to a bloody showdown between his slayers and an army of demons.",82,Accion,way of the vampire,2005
3.7,Robert Rodriguez,"['Robert Rodriguez', 'Marcel Rodriguez', 'Racer Rodriguez']",-,93,Accion,the adventures of sharkboy and lavagirl 3-d,2005
3.5,Sidney J. Furie,Greg Mellott,A group of U.S. soldiers defy their country when they release mistreated prisoners.,103,Accion,american soldiers,2005
6.2,John Gulager,"['Patrick Melton', 'Marcus Dunstan']",-,95,Accion,feast,2005
5.9,Zsombor Dyga,"['Zsombor Dyga', 'Balázs Lovas']",Probably in our world there are no coincidences but then we have to admit that up there a lot of beings could be working overtime. And here in our place in the left corner of the lukewarm suburb they are really doing their best.,74,Accion,kész cirkusz,2005
7.0,Prachya Pinkaew,"['Napalee', 'Piyaros Thongdee', 'Joe Wannapin']",-,111,Accion,honour of the dragon,2005
5.7,Dustin Rikert,Dustin Rikert,-,-,Accion,the nowhere man,2005
6.1,Hark Tsui,"['Yusheng Liang', 'Hark Tsui', 'Chi-Sing Cheung']",Seven warriors come together to protect a village from a diabolical General.,153,Accion,qi jian,2005
5.3,Vasiliy Chiginskiy,"['Ilya Avramenko', 'Igor Evsukov']","The film is based on the true story of Captain Marinesku and set in 1944 during WWII at the Russian Navy Base. Young and beautiful Tanka is in love with Aleksandr Marinin, the brave Captain of the Russian submarine. He is under the KGB surveillance, and his life is at risk. He takes his boat to fight the Nazi fleet, and he cannot come back home without a victory.",99,Accion,pervyy posle boga,2005
6.8,John Singleton,"['David Elliot', 'Paul Lovett']",-,109,Accion,four brothers,2005
-,Bill Regan,"['Bill Regan', 'Michael Weber']",-,-,Accion,the adventures of buster smith,2005
5.7,V.V. Vinayak,"['V.V. Vinayak', 'Rajendra Kumar']","Prior to his marriage, a young man asks for the property of his fiancee's father, a millionaire, to be written in his name.",139,Accion,bunny,2005
4.8,William Tannen,Bruce Haskett,A detective comes to the aid of an aged diamond cutter.,97,Accion,the cutter,2005
7.6,Ram Gopal Varma,"['Manish Gupta', 'Sarim Momin']","Subhash Nagre runs a parallel government in the city where he has a cult following. When his enemies plot to murder him, his son takes charge and stands up against them.",124,Accion,sarkar,2005
4.6,Sreenu Vaitla,"['Bhupati Raja', 'Sreenu Vaitla', 'Kona Venkat']",Govindarajulu (Chiranjeevi) is a labor leader who enjoys life in his own entertaining way. His son Siddardh (Chiranjeevi) heads a popular TV channel. Govindarajulu raises his son Siddardh on his own as his wife dies when Siddardh was a kid. Siddardh and Swetha (Rimmi Sen) fall in love. They get married. But Swetha has a secret mission of separating father and son. The... Leer todo,162,Accion,andarivaadu,2005
6.2,Shûsuke Kaneko,"['Yû Koyama', 'Mataichirô Yamamoto', 'Yoshiaki Kawajiri']","Young assassins Azumi and Nagara continue their mission to prevent a civil war. In their hunt for Masayuki Sanada, who is protected by both an army and a dangerous clan, they meet Ginkaku, a person who shows a remarking resemblance with former friend Nachi.",108,Accion,azumi 2: death or love,2005
2.6,Martin Munthe,Mat Nastos,"The USS Newark has been lost at sea, carrying top-secret cargo from experimental military project. Finally, the submarine is discovered sixty miles off the coast of California.",97,Accion,stinger,2005
6.8,David Ayer,David Ayer,-,116,Accion,harsh times,2005
6.0,Kang Woo-suk,Jin Jang,A public prosecutor looks to bring down a corrupt public official.,148,Accion,gonggongui jeog 2,2005
5.5,Dolph Lundgren,"['Bryan Edward Hill', 'Dolph Lundgren']","A Russian ex-Spetsnaz working as a mechanic in LA accepts a job freeing a kidnapped woman in Saint Petersburg, as the mob boss also killed his wife and son 7 years ago. The body count begins.",94,Accion,the mechanik,2005
6.1,Stephen Fung,"['Stephen Fung', 'Yiu Fai Lo']","A former secret agent's past catches up to him, and his two children have to rescue him before it's too late.",102,Accion,jing mo gaa ting,2005
8.2,"['James Mc', 'Teigue']","['Lilly Wachowski', 'Lana Wachowski', 'David Lloyd']",-,132,Accion,v for vendetta,2005
