puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
6.5,"['Ole Bornedal', 'Tony Spataro']","['Ole Bornedal', 'Jonas Cornell', 'Herbjørg Wassmo']","Dina grows up in a village at a fjord in 1860s north Norway. As child, she accidentally kills her mom and loses her rich dad's love. She grows up to be a clever, pretty, wild, and strange woman. She marries a rich Frenchman.",125,Drama,i am dina,2002
6.7,Philipp Stölzl,"['David Hamblyn', 'Wolfgang Kohlhaase']",Alice is given a parenting exercise at school which changes her understanding of the world in a way she never expected.,105,Drama,baby,2002
6.8,Burr Steers,Burr Steers,-,98,Drama,igby goes down,2002
6.2,Brian De Palma,Brian De Palma,-,114,Drama,femme fatale,2002
6.1,Walter Hill,"['David Giler', 'Walter Hill']",-,96,Drama,undisputed,2002
6.0,Scott Roberts,Scott Roberts,"3 brothers are in and out of prison in connection with heists planned by their lawyer et al. He gets them out for the heists and ""looks after"" the money and one's wife.",102,Drama,the hard word,2002
6.3,"['Robert Schindel', 'Lukas Stepanik']","['Georg Stefan Troller', 'Robert Schindel', 'Lukas Stepanik']","A holocaust survivor now living as a respected writer in Manhattan is the only person who can identify a suspected Nazi back in his native Austria. When a beautiful reporter eager for a scoop tries to lure him back, Geburtig must decide whether to confront his past.",110,Drama,gebürtig,2002
3.5,Dusty Nelson,Dusty Nelson,"A fire chief (Gunn) is investigating the cause of a string of blazes that threaten to destroy her small town, while at the same time dealing with her teen daughter's rebelliousness.",91,Drama,inferno,2002
6.1,Delphine Gleize,Delphine Gleize,"After a bull dies in an arena, its remains are transported throughout Belgium, France, and Spain, where various characters cross its path.",130,Drama,carnages,2002
7.6,Paul Greengrass,Paul Greengrass,-,111,Drama,bloody sunday,2002
7.2,Costa-Gavras,"['Costa-Gavras', 'Jean-Claude Grumberg', 'Rolf Hochhuth']",-,132,Drama,amen.,2002
5.7,Bob Dolman,Bob Dolman,-,98,Drama,the banger sisters,2002
5.7,Kari Skogland,Kari Skogland,"Liberty, the wife of a gun manufacturer, is held hostage at a hot dog stand by a sniper seeking revenge.",96,Drama,liberty stands still,2002
6.3,Eric Galler,"['Eric Galler', 'Angela Taylor']",Mob tale of a mafia boss whose moll has hooked up with a young hood now in charge of a movie studio.,-,Drama,pacino is missing,2002
6.3,Hans Pos,"['Frank Bovenkerk', 'Hans Pos', 'Tomas Ross']",The gripping true story of a Dutch girl who made an amazing career in the international narcotics world.,102,Drama,bella bettien,2002
4.7,Leonardo Ricagni,Tino Lucente,-,93,Drama,29 palms,2002
5.2,Zia Mojabi,Zia Mojabi,-,-,Drama,woman on fire,2002
6.6,Jay Russell,"['Natalie Babbitt', 'Jeffrey Lieber', 'James V. Hart']",-,90,Drama,tuck everlasting,2002
7.1,Peter Kosminsky,"['Janet Fitch', 'Mary Agnes Donoghue']",-,109,Drama,white oleander,2002
7.2,Takashi Koizumi,"['Takashi Koizumi', 'Keishi Nagi']",An urban Japanese couple decide to move to the country.,127,Drama,amida-do dayori,2002
-,Paul Seed,Caleb Ranson,-,-,Drama,children of the flag,2002
5.3,"['Myriam Mézières', 'Alain Tanner']",Myriam Mézières,"In custody after she murders her middle aged photographer lover, a fourteen year old Pam reflects back on the bohemian life she spent with her mother Lily, a free spirited cabaret performer. Lily tried to elevate her stripper performances from the level of erotic spectacle to artistic expression as she dragged her young daughter from nightclub to nightclub and hotel t... Leer todo",100,Drama,fleurs de sang,2002
6.7,Jonas Åkerlund,"['Will De Los Santos', 'Creighton Vero']",-,101,Drama,spun,2002
