puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,7.5,Anders Thomas Jensen,Anders Thomas Jensen,"A gang of 4 Danish criminals are ordered by Færingen to steal a bag from a safe. When they see DKK4,000,000 in the bag, they keep it for themselves and head for Spain. They end up in a ruin of an old restaurant on Jutland and renovate it.",109,Accion,blinkende lygter,tt0236027
,5.8,Jingle Ma,"['Susan Chan', 'Felix Chong']","Is anyone who he says he is in this caper that moves from Hong Kong and Las Vegas to Tokyo? Ken doesn't show up in Vegas for his wedding; his disconsolate bride, Macy, heads home for Hong Kong and finds John, an interior decorator, waiving a check of Ken's that has bounced. She leaves immediately for Tokyo to find her businessman boyfriend, and John tags along. Ken's ... Leer todo",118,Accion,dong jing gong lüe,tt0233600
,6.7,Kon Ichikawa,"['Akira Kurosawa', 'Keisuke Kinoshita', 'Kon Ichikawa']",New magistrate cleans up a corrupt town in his own comic Samurai way.,111,Accion,dora-heita,tt0236167
,7.6,Aleksey Balabanov,Aleksey Balabanov,"Arriving in Moscow, Danila discovers Konstantin dead and he sets out to avenge his death; a journey that leads him to Chicago and a whole new experience.",122,Accion,brat 2,tt0238883
86,7.3,Sabu,Sabu,A simple funeral turns a man's world topsy turvy.,100,Accion,monday,tt0239655
20,4.8,Craig Clyde,"['Bryce W. Fillmore', 'Craig Clyde']","A teenage girl and her dog are stranded in the desert. With the help of a young illegal immigrant on the run, they try to make it out alive together.",81,Accion,castle rock,tt0240400
92,8.2,Priyadarshan,"['Siddique', 'Lal', 'Neeraj Vora']",-,156,Accion,hera pheri,tt0242519
-,4.8,"['Mike Tristano', 'Frank Zagarino']","['Terry Cunningham', 'David Dadon', 'Mark Anthony Galluzzo']",A wrongfully sentenced man is given a chance at freedom in exchange for the safe delivery of stolen diamonds.,89,Accion,never look back,tt0244095
13,5.2,Jon Gunn,"['Jon Gunn', 'John W. Mann']","Estranged twin brothers - one a con man, the other an Episcopal deacon - accidentally switch places... and find God in the process.",106,Accion,mercy streets,tt0243415
,3.3,Lloyd A. Simandl,Chris Hyde,"A group of retired spies once former enemies, are forced to work together in an attempt to retrieve a neutron bomb stolen by a group of new-wave, high-tech operatives who have supplanted them in the post-Cold War intelligence game.",97,Accion,crackerjack 3,tt0243196
,6.8,Katsuyuki Motohiro,"['Magy', 'Yoshikazu Okada']",What happens when ambitious robbery - to clear out a futuristic bank outside Tokyo in 5 minutes - gone wrong.,125,Accion,supêsutoraberâzu,tt0243573
,5.4,Darren Doane,Jim Chadwick,A double-dealing member of an elite group of hit men becomes the ultimate target when his organization discovers his deceit.,83,Accion,ides of march,tt0243327
