,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
100,7.5,Alejandro G. Iñárritu,"['David Carter', 'Alejandro G. Iñárritu', 'Guillermo Arriaga']","January 13, 2001. Times war photographer Harvey Jacobs is wounded while witnessing a massacre at Nuevo Colon by terrorists. In a desperate effort, the United Nations sends a vehicle to get him out, a BMW driven by the mysterious Driver.",8,powder keg,2001
101,-,Lasha Dardagany,Lasha Dardagany,"George 'Gio' Baratelli travels back to his hometown of Tbilisi, only to find his Godfather Archil has been died. During this visit, George realizes that the death of his Godfather was not accidental, but a murder. With this knowledge, George sets out to find all those responsible. Unable to be helped by Natalie, his childhood friend and a granddaughter of his Godfathe... Leer todo",10,day of reckoning,2001
102,-,Emily Weissman,"['Emily Weissman', 'Clark Westerman']",-,-,she-bat,2001
103,7.2,Ben Elia,Ben Elia,Holograms engage in a battle against a cube.,5,avatars,2001
104,7.7,Damien Caldwell,Aaron Brown,-,12,lincoln and 31st,2001
105,7.1,Paul Budnitz,Paul Budnitz,A lonely hitman known only as the Watcher is addicted to a drug supplied by his employers. He follows a girl home one night...,14,ultraviolet,2001
106,5.6,Nash Edgerton,"['Joel Edgerton', 'Nash Edgerton']",A young filmmaker pitches his latest masterpiece.,3,the pitch,2001
107,6.5,Maurice A. Dwyer,Maurice A. Dwyer,An urban opera about a man in the wrong place at the wrong time.,7,whoa,2001
108,6.7,Jalmari Helander,"['Jalmari Helander', 'Juuso Helander', 'Kalle Määttä']","A scientist who became radioactive in an accident at a research center is framed by a large corporation, leading to a crusade to bring down the corporation and get revenge.",22,ukkonen,2001
109,7.3,Graham Elwood,"['Timothy A. Bennett', 'Graham Elwood']",A Featured Short Film Presentation.,15,hello junkie,2001
110,6.2,Chris Bailey,-,"A glimpse into a little boy's obsession with the genetically engineered superhero, Major Damage.",3,major damage,2001
111,7.9,Douglas Horn,Douglas Horn,"When two filmmakers discover their blockbuster is really just a bust, they cut together every half-decent shot into a misleading trailer to dupe audiences and save their careers.",9,trailer: the movie!,2001
112,6.0,David Sarrio,David Sarrio,A young man looses his eyesight recognizer his power of extreme speed and sensitivity,6,daredevil: the teaser,2001
