,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
157,7.0,Radha Krishna Jagarlamudi,"['A.R. Murugadoss', 'Rajat Arora', 'D.S. Kannan']","After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public.",128,gabbar is back,2015
158,5.1,Chad Burns,"['Paul Mc', 'Cusker', 'Stephen Kendrick', 'Brennan Smith']",-,103,beyond the mask,2015
159,-,"['Jonathan Gajewski', 'Justin Gajewski']","['Jonathan Gajewski', 'Justin Gajewski']","Special agent Sheppard is on the verge of finally tracking down an illusive serial killer, due to a dramatically tragic event. Lead by desperation, the killer is forced to take drastic measures in order to secure his own safety; which in turn will take special agent Sheppard to the edge.",-,headcase,2015
160,4.9,Daniel Armstrong,Daniel Armstrong,Budding female pro wrestling champion Charlie is faced with a wrestle-pocalypse of homicidal monsters spawned by a wrestling video game.,90,from parts unknown,2015
161,6.1,Dennis Ruel,Dennis Ruel,"When Peru's Biggest Action Film Star and Jordan's newest rising talent find themselves pursued by a notorious Bookie, a couple of private investigators are forced to choose between their job and their conscience.",100,unlucky stars,2015
162,5.5,Ross Patterson,Ross Patterson,"Yet another masterpiece by St. James St. James, this film explores the true story that government didn't want you to know about how Helen Keller really lost her eyesight and hearing: Nightwolves.",75,helen keller vs. nightwolves,2015
163,6.2,Ewan Gorman,Ewan Gorman,"Young Hunters: The Beast of Bevendean is a children's action adventure film, about two boy's hunt for the mysterious creature said to be living in the woods on the edge of town.",85,young hunters: the beast of bevendean,2015
164,5.7,"['Sean Mc', 'Namara']","['Thomas Farrell', 'David M. Kennedy']",A group of teenage cadets sheltered from war at the Virginia Military Institute must confront the horrors of an adult world when they are called upon to defend the Shenandoah Valley.,96,field of lost shoes,2015
165,5.5,Thomas Woschitz,Thomas Woschitz,"BAD LUCK is a lovingly made, tragic-comic film about wrong decisions, chance and the search for happiness.",80,bad luck,2015
166,4.8,Frank Coraci,"['Tim Herlihy', 'Adam Sandler']",-,119,the ridiculous 6,2015
167,6.2,Kazuaki Kiriya,"['Michael Konyves', 'Dove Sussman']",-,115,last knights,2015
168,6.8,Ivona Juka,Ivona Juka,-,155,ti mene nosis,2015
169,7.8,J.J. Abrams,"['Lawrence Kasdan', 'J.J. Abrams', 'Michael Arndt']",-,138,star wars: episode vii - the force awakens,2015
170,-,Brian O. Green,Brian O. Green,"'The End Will Justify the Means' A crime drama that unfolds around a investigative reporter seeking to prove an internet legend to be true but ends up weaving herself into struggle against the largest crime cartel on the East-Coast. She, along with two other women, find themselves fighting this criminal empire and uncovering more than they were prepared to face.",87,the end agenda,2015
171,5.7,Vidhu Vinod Chopra,"['Vidhu Vinod Chopra', 'Abhijat Joshi']","The bonds of brotherhood, the laws of loyalty, and the futility of violence in the shadows of the US Mexico border gang wars.",101,broken horses,2015
172,5.8,Pierre Morel,"['Jean-Patrick Manchette', 'Don Mac', 'Pherson', 'Pete Travis']",-,115,the gunman,2015
173,-,Trevor Mirosh,Trevor Mirosh,The Arrangement is a short crime / drama film about a hitchhiker who finds herself intertwined with three different individuals and fifty-thousand stolen dollars.,47,the arrangement,2015
174,6.8,Larry Smith,"['Ken Kwek', 'Larry Smith']","When a young Vietnamese-Australian thug botches a gangland assassination and runs into serious debt with his triad, his younger brother is forced to embark on a harrowing drug run from Vietnam to pay off the mob bosses.",90,trafficker,2015
175,2.9,Salamat Mukhammed-Ali,"['Magamet Bachaev', 'Salamat Mukhammed-Ali', 'Dauren Mussa']",-,100,the whole world at our feet,2015
176,7.5,Kevin de la Isla O'Neill,"['Niall Queenan', ""Kevin de la Isla O'Neill""]","Katelin Ballantine, a struggling movie producer in search of an investor, reluctantly follows the promise of money into Dublin's drug underworld where she witnesses a botched murder attempt. Forced to finish the job, she is blackmailed into killing for Edmund Murren, a small time, ruthless drug supplier hell bent on becoming top dog. Two years later, Katelin has put a... Leer todo",107,the hit producer,2015
177,7.0,Roel Reiné,"['Lars Boom', 'Alex van Galen']",-,151,michiel de ruyter,2015
178,4.2,Livi Zheng,Ken Zheng,"A painter, a fighter, both artists in their own way. Brother and sister, forced to flee their home, arrive at Seattle inside a shipping container. Trying to make their way in a new world the pair struggle to survive. Until, one day, an art dealer takes an interest in the sister's painting, and the pair find themselves living a dream come true. The sister loses herself... Leer todo",90,brush with danger,2015
179,5.8,James Erskine,James Erskine,"Alberto, a Colombian migrant working illegally in London to pay for his mother's operation back home, becomes convinced that God has a destiny marked out for him. This is a taught, poignant thriller with a captivating supernatural twist.",90,the healer,2015
180,4.0,Matthias Olof Eich,"['Matthias Olof Eich', 'Bernd Strack']","In the picturesque Bavarian town of Oberammergau, two friends, Markus and Thomas, are using the instructions found in an old Jewish diary to gain access to a WW II underground military base formerly codenamed: CERUSIT.",76,bunker of the dead,2015
181,8.8,Nico Toffoli,Nico Toffoli,Do you remember everything from your past?,90,the hidden side of the things,2015
182,4.6,Moisés Ortiz Urquidi,"['Verónica Bellver', 'Lucía Carreras', 'Leticia López Margalli']",-,103,las aparicio,2015
183,6.4,David T. Krupicz,David T. Krupicz,"Cold Dark Mirror follows a young Witch-Hunter, Lydia, who stumbles upon the dark secret of the Unseen World; a shadow world of dreams and nightmares which lies just beyond the mirror's edge. A dark and ancient power, the Time Shadow, seeks entry into the corporeal world, a power some on the Alchemic Council are in league with, and whose existence they seek to keep sec... Leer todo",85,cold dark mirror,2015
184,3.5,Dan Rickard,"['Will Martin', 'Dan Rickard']","Dan wakes up on a beach with no memory. He discovers an empty city ravaged by a deadly virus. After befriending a small group of survivors it soon becomes clear the army is hunting him down, and the group is forced on a dangerous journey to escape.",90,darkest day,2015
185,8.0,S.S. Rajamouli,"['Vijayendra Prasad', 'S.S. Rajamouli', 'C.H. Vijay Kumar']",-,159,bãhubali: the beginning,2015
186,2.7,"['Cathy Scorsese', 'Kenneth M. Waddell']","['Michael Simon', 'Kenneth M. Waddell']","Sensing something amiss on their college campus, a group of students go on a quest where they must survive unknown forces to find answers. Battling Guards, Griefers and at times each other, they'll have to fight to make it out alive!",86,campus code,2015
187,5.6,Vassilis Katsikis,Vassilis Katsikis,"During a stormy night, Ann is all alone in her villa. An intruder breaks in. Ann, in absolute terror, has to fight this mysterious creature, as well as to confront her husband and her own demented mind...",85,lurk,2015
188,3.6,Richard Lowry,"['Marlin Davis', 'Erick Hansen', 'Ilan Herman']","In five days the world changed. As a retired Intelligence agent turned UFO investigator races to discover the fate of the human race, an alien observer searches for the human woman he loves.",83,dominion,2015
189,-,Eduardo A. Tobias,"['Jesse Campos', 'Eduardo A. Tobias']","On trial for the death of her children, Lilith Manes contests her guilt as her case draws Casey Anthony-style coverage. When she claims the shapeshifting Chupacabra killed her children, the media labels her a modern day embodiment of the Mexican myth, La Lorona, ""The Weeping Woman."" Manes hires Mexican luchadore, El Guey, ""The Dude"" to take care of business but will h... Leer todo",93,el güey,2015
190,5.7,Aleksander Bach,"['Skip Woods', 'Michael Finch', 'Morten Iversen']",-,96,hitman: agent 47,2015
191,5.5,Michael Mann,Morgan Davis Foehl,-,133,blackhat,2015
192,6.1,Antoine Bardou-Jacquet,"['Dean Craig', 'Antoine Bardou-Jacquet']","After failing to locate the legendary Stanley Kubrick, an unstable CIA agent must instead team up with a seedy rock band manager to develop the biggest con of all time-staging the moon landing.",96,moonwalkers,2015
193,6.3,"['Christopher Dorrah', 'Tracy Wren']",Christopher Dorrah,"Leigh, an eccentric young woman, witnesses her mother murdered by the woman who would raise her. She grows up to be a ruthless assassin and fights with hiding her real life reality from the love of her life.",115,beautiful destroyer,2015
194,5.8,Allan Ungar,"['Allan Ungar', 'Rob Robol']",Former SWAT leader David Hendrix and hard-partying movie star Brody Walker must cut their ride-along short when a police training facility is attacked by a team of mercenaries.,110,gridlocked,2015
195,7.1,Baltasar Kormákur,"['William Nicholson', 'Simon Beaufoy']",-,121,everest,2015
196,6.9,Matty Johnson,"['Matty Johnson', 'Jeff Wood']","Grim strives to right the wrong that was committed against his family, but being a real man takes over him, and he seeks to right the anarchy that rules his once beloved city. Criminal beware - for your future is ""Grim"".",63,grim,2015
197,8.8,Jon Bush,-,"Club Kingpin Mario Diaz has been throwing the hottest, sexiest, funnest parties in the LGBT nightlife scene for over 20 years, from New York to LA. Come with us as we dive deep, go behind the scenes and find out what makes him tick and how he does it.",70,club king,2015
198,6.0,Bruno Hernández,"['Javier De Nevares', 'Andrés Gelós', 'Luis E. Langlemey']","Juan and Vicente are brothers, but they are separated by a deep hatred that will bring Juan back to life to take the thing that matters the most to his brother: power. A story of love, disillusions and excess.",88,8 tiros,2015
