titulo,anio,puntuacion,id
Double Deception,2001,,tt0249511
Ethirum Puthirum,2001,,tt0251690
High Heels and Low Lifes,2001,20,tt0253126
Pledge of Innocence,2001,,tt0253487
Mrugaraaju,2001,,tt0249818
L.A.P.D.: To Protect and to Serve,2001,8,tt0250485
All the Queen's Men,2001,7,tt0252223
Heist,2001,30,tt0252503
No Turning Back,2001,60,tt0253335
The Fourth Angel,2001,28,tt0254334
The Point Men,2001,36,tt0254703
Dead Awake,2001,42,tt0254252
Young Blades,2001,,tt0256531
Road to Redemption,2001,62,tt0256341
Beneath Loch Ness,2001,10,tt0256155
Torrente 2: Misión en Marbella,2001,,tt0257231
Pootie Tang,2001,27,tt0258038
Knight Club,2001,37,tt0259386
Outlaw,2001,21,tt0260261
Kuen sun,2001,,tt0260136
Carman: The Champion,2001,11,tt0262462
Thug Life,2001,40,tt0262828
Mindstorm,2001,4,tt0263746
Megiddo: The Omega Code 2,2001,,tt0263728
Let's Get Skase,2001,,tt0264792
Chinna,2001,,tt0263199
Black Hawk Down,2001,77,tt0265086
Scenes of the Crime,2001,50,tt0265709
Dubai,2001,,tt0266486
Blood and Guts,2001,,tt0266339
Zoe,2001,80,tt0266102
Firestorm Rising,2001,,tt0265190
Extreme Honor,2001,,tt0264606
Gangland,2001,63,tt0265198
Extreme Force,2001,,tt0264605
The Breed,2001,32,tt0265104
The One,2001,13,tt0267804
Officer,2001,,tt0265452
Home Invaders,2001,,tt0265226
Rain,2001,85,tt0265611
The Pharaoh Project,2001,,tt0265521
Facing the Enemy,2001,29,tt0267414
Yamakasi - Les samouraïs des temps modernes,2001,63,tt0267129
Avalon,2001,83,tt0267287
Rush Hour 2,2001,51,tt0266915
Last Run,2001,13,tt0267659
Dakota Bound,2001,,tt0267336
She,2001,-,tt0267923
Spy Game,2001,,tt0266987
Jimmy Neutron: Boy Genius,2001,74,tt0268397
Pressure Point,2001,-,tt0268548
Donzi: The Legend,2001,,tt0269163
Manhattan Midnight,2001,,tt0271053
Kiss of the Dragon,2001,52,tt0271027
Soul Assassin,2001,13,tt0271200
MacArthur Park,2001,80,tt0270487
The Last Castle,2001,52,tt0272020
Heinrich der Säger,2001,,tt0272123
Gerak Khas the Movie,2001,,tt0272105
Hidden Agenda,2001,30,tt0271543
Dead Dogs Lie,2001,,tt0272068
Farz,2001,,tt0272607
Arachnid,2001,12,tt0271972
The Accidental Spy,2001,25,tt0271946
Focus,2001,56,tt0273226
Aashiq,2001,56,tt0273406
Feindliche Übernahme - althan.com,2001,,tt0273605
High Point,2001,,tt0273649
Sezon na leszcza,2001,,tt0274830
Snowbound,2001,17,tt0274861
Musa,2001,,tt0275083
Sohasevolt Glória,2001,,tt0274871
Snipers,2001,,tt0274859
Cowboy Bebop: Tengoku no tobira,2001,,tt0275277
Witness to a Kill,2001,38,tt0275611
Rain,2001,85,tt0265611
Amazons and Gladiators,2001,32,tt0275913
Electric Dragon 80.000 V,2001,,tt0276935
So weit die Füße tragen,2001,,tt0277327
Posers,2001,23,tt0278636
Snipes,2001,25,tt0275688
Title to Murder,2001,,tt0277386
Randam Bhavam,2001,-,tt0277984
