,titulo,anio,puntuacion_rotten
850,"The Time Machine: A Chad, Matt & Rob Interactive Adventure",2008,
851,Lazer Ghosts 2: Return to Laser Cove,2008,
852,"No se asombre, Sargento",2008,
853,Dusty,2008,-
854,The Bridge,2008,68
855,The Messenger,2008,90
856,The German,2008,
857,Young Love,2008,100
858,Selma n' DD: Guns Blazing,2008,
859,Break In,2008,
860,Guns and Butter,2008,
861,Mighty Deadly,2008,
862,A Man Called Trouble,2008,
863,Grandmaster,2008,
864,Rope,2008,93
865,Di chi è ora la città?,2008,
866,101 Damnations,2008,
867,Laura: In Action,2008,
868,Wan pîsu: Romansu keimei,2008,
869,The Universe and I,2008,
870,Finding Home,2008,30
871,The Art of Roadkill,2008,
872,Dangerous Games,2008,-
873,The End,2008,33
874,The Treasure of the Bandit King,2008,
875,Hell on the Border,2008,40
876,Istället för abrakadabra,2008,
877,Resolve,2008,
878,An Honourable Day,2008,
879,Diary of a Hitman,2008,36
880,Gone Fishin',2008,
881,An Afghan Night,2008,
882,Blazing Big Wheels of Fire,2008,
883,Gig,2008,
884,Counter Intelligence,2008,
885,Le film dont vous êtes le héros,2008,
886,Free at Last,2008,
887,Between Two Evils,2008,
888,Home,2008,65
889,Feedback Loop,2008,
890,Johnny Oneline,2008,
891,Crossing Rio Grande,2008,
892,Spoons,2008,
893,Chances,2008,
894,Etutu igba ati akoko,2008,
895,Incitement,2008,96
896,Mexica Curse,2008,
897,Paper Champions,2008,
898,La quête du donut,2008,
899,VK,2008,
900,Honor,2008,26
901,Maggie,2008,61
902,Crossing the Line,2008,43
903,Intervention,2008,18
904,Protocol,2008,33
905,Auga fyrir auga,2008,
906,La main des maîtres,2008,
907,BloodRayne: A Fan Film,2008,
908,Resolve,2008,
909,Certain Peace Chapter III,2008,
910,Take-Out,2008,
911,Welcome to Basin City,2008,
912,MGS: Acquiescence,2008,
913,The Way Out,2008,86
914,Faceless,2008,100
915,Stopwatch,2008,
916,Remnant,2008,
917,Virtual Vision,2008,
918,Stone Rockwell,2008,
919,To Kouti,2008,
920,The Job: Blown Away,2008,
921,Benny Future and the Madman from Manchester,2008,
922,The Assassin Project,2008,
923,Street Samurai,2008,
924,Stray Hearts,2008,
925,The Drill,2008,
926,In a Heartbeat,2008,
927,Rit Bus (Will Have It Tomorrow),2008,
928,Twilight Forest,2008,
929,The Hunter's Apprentice,2008,
930,Dust,2008,81
931,Apostle,2008,78
932,Visceral,2008,
933,Righteous Indignation,2008,-
934,Rain,2008,30
935,Hard Stapled,2008,
936,Don't Be Late,2008,
937,Hit or Miss,2008,
938,Thirty Six Hours: The Poet,2008,
939,Game,2008,
940,Brothers in Arms,2008,94
941,Master Vengeancer,2008,
942,"Tick, Tock, Trip!",2008,
943,Find My Way,2008,
944,The Man Left Behind,2008,
945,End of the Tour,2008,
