,0,1,2
631,Viva Las Nowhere,2001,56
632,Bartleby,2001,35
633,Down to Earth,2001,20
634,Ophelia Learns to Swim,2001,
635,Crocodile Dundee in Los Angeles,2001,11
636,3000 Miles to Graceland,2001,15
637,Tangos volés,2001,
638,Novocaine,2001,38
639,Summer Catch,2001,8
640,Atlético San Pancho,2001,
641,Gaudi Afternoon,2001,25
642,The Mexican,2001,54
643,The Tailor of Panama,2001,75
644,Josie and the Pussycats,2001,53
645,Les gens en maillot de bain ne sont pas (forcément) superficiels,2001,
646,Grev Axel,2001,
647,Open Mic,2001,
648,Say It Isn't So,2001,8
649,Mortel transfert,2001,
650,The Hollywood Sign,2001,24
651,Santa Cristal,2001,
652,Double Take,2001,12
653,Giravolte,2001,
654,Origine contrôlée,2001,
655,All About You,2001,81
656,Serendipity,2001,59
657,Cats & Dogs,2001,53
658,Sidewalks of New York,2001,56
659,Evil Woman,2001,
660,La Ciénaga,2001,87
661,Le soleil au-dessus des nuages,2001,
662,The Blue Diner,2001,
663,Freddy Got Fingered,2001,10
664,Une hirondelle a fait le printemps,2001,
665,The Gristle,2001,75
666,Dr. Dolittle 2,2001,42
667,O Casamento de Louise,2001,
668,Wet Hot American Summer,2001,38
669,Le placard,2001,
670,Ho'olawe: Give and Take,2001,
671,Un aller simple,2001,
672,Speaking of Sex,2001,38
673,Never Again,2001,31
674,Pursuit of Happiness,2001,71
675,On the Nose,2001,56
676,Harvard Man,2001,33
677,"Mercredi, folle journée!",2001,
678,Investigating Sex,2001,30
679,Face the Music,2001,39
680,Va savoir,2001,
681,Divoké vcely,2001,
682,Good Advice,2001,33
683,Bridget Jones's Diary,2001,80
684,The American Astronaut,2001,63
685,Sólo por hoy,2001,
686,Come Together,2001,100
687,The Next Big Thing,2001,41
688,Off Key,2001,
689,Klassikko,2001,
690,Extremedays,2001,
691,The Fluffer,2001,49
692,Joe Dirt,2001,9
693,Les portes de la gloire,2001,
694,Someone Like You...,2001,
695,The Right Girl,2001,22
696,Zus & zo,2001,
697,Crush,2001,36
698,Un crime au paradis,2001,
699,Jack the Dog,2001,
700,Alex in Wonder,2001,60
701,Kingdom Come,2001,27
702,"Oui, mais...",2001,
703,To tama,2001,
704,Lucky Break,2001,48
705,Who Is Cletis Tout?,2001,23
706,Bella Martha,2001,
707,Elvis Is Alive,2001,
708,Auf Herz und Nieren,2001,
709,Thema Nr. 1,2001,
710,Ein göttlicher Job,2001,
711,The Princess Diaries,2001,49
712,Viktor Vogel - Commercial Man,2001,
713,Always Greener,2001,
714,Tomcats,2001,14
715,The Medicine Show,2001,
716,Rebelové,2001,
717,Women in Film,2001,57
718,Honolulu,2001,20
719,Green Diggity Dog,2001,
720,Love & Support,2001,
721,No Such Thing,2001,31
722,Large,2001,
723,Super Troopers,2001,36
724,Storytelling,2001,54
725,Goebbels und Geduldig,2001,
726,Legally Blonde,2001,71
727,Hedwig and the Angry Inch,2001,
728,Rat Race,2001,45
729,Kevin of the North,2001,35
730,Plan B,2001,29
