tipo,titulo,anio,mes_estreno,id_pelicula
Cortometraje,Jesus Ridin' Shotgun,2003,6,tt8129582
Cortometraje,The Runner,2003,1,tt6960388
Cortometraje,Broken Hero,2003,8,tt7246720
Cortometraje,Radio Silence,2003,7,tt7064488
Cortometraje,Homeland,2003,3,tt7373984
Cortometraje,Mind's Eye,2003,5,tt23181340
Cortometraje,The Pitch,2003,5,tt26659709
Cortometraje,Spongebob (Re-Hydrated),2003,,tt26795454
Cortometraje,Bullet Time,2003,1,tt27334293
Cortometraje,Bad Bullet Reloaded,2003,,tt27714560
Cortometraje,Matrix XP,2003,7,tt31100245
Cortometraje,Radius,2004,7,tt0244746
Cortometraje,Might of the Starchaser,2004,1,tt0390260
Cortometraje,Kaos,2004,1,tt0396683
Cortometraje,Night Demons,2004,9,tt0398232
Cortometraje,The Runaround,2004,1,tt0398298
Cortometraje,Blind,2004,3,tt0398782
Cortometraje,Versus,2004,2,tt0400924
Cortometraje,Just Asking for It,2004,2,tt0401551
Cortometraje,On the Run,2004,4,tt0402415
Cortometraje,Revenge of Cerebral Print,2004,4,tt0404373
Cortometraje,Gung Ho,2004,1,tt0404997
Cortometraje,"Chicks with Sticks, Part 3",2004,-,tt0407646
Cortometraje,Hawaiian Treasure,2004,5,tt0408836
Cortometraje,Rex Steele: Nazi Smasher,2004,3,tt0409222
Cortometraje,Cut and Run,2004,3,tt0408653
Cortometraje,Captain Valedor versus the Spider Queen,2004,1,tt0408612
Cortometraje,Darkness Minus Twelve,2004,4,tt0411268
Cortometraje,"Kaze, Ghost Warrior",2004,4,tt0415092
Cortometraje,The Hitter Awards,2004,6,tt0415041
Cortometraje,Duel,2004,6,tt0416703
Cortometraje,Gemini,2004,7,tt0416793
Cortometraje,World's Finest,2004,7,tt0420324
Cortometraje,Even If It's Wrong,2004,4,tt0419736
Cortometraje,Bullets Over Breakfast,2004,4,tt0421117
Cortometraje,An Occurrence at Black Canyon,2004,4,tt0421144
Cortometraje,Rage Against the Machine,2004,4,tt0420106
Cortometraje,Handle with Care,2004,8,tt0422395
Cortometraje,The Green Bag Factor,2004,4,tt0422358
Cortometraje,Rough and Rugged,2004,-,tt0423093
Cortometraje,The Romeo Division,2004,8,tt0423088
Cortometraje,Getaway Ben,2004,9,tt0426001
Cortometraje,Clown vs. Mime,2004,9,tt0425877
Cortometraje,Dream of the Lizard,2004,-,tt0426440
Cortometraje,Body Electric,2004,9,tt0426415
Cortometraje,Three Lives,2004,8,tt0426600
Cortometraje,The Crusaders,2004,10,tt0428439
Cortometraje,Gamers Circle,2004,7,tt0428566
Cortometraje,Grayson,2004,7,tt0430154
Cortometraje,"Gotham, IL",2004,10,tt0428589
Cortometraje,Immortal Brother,2004,8,tt0430215
Cortometraje,Transmission,2004,4,tt0432163
Cortometraje,Three Blind Mice,2004,10,tt0432370
Cortometraje,SoHo Soccer,2004,11,tt0432356
Cortometraje,Tae-chi-do,2004,8,tt0433084
Cortometraje,The Alien Invasion,2004,1,tt0434772
Cortometraje,Birth Control,2004,4,tt0434796
Cortometraje,2 Pen 2 Furious,2004,2,tt0436010
Cortometraje,Chicks with Sticks: Live in Las Vegas,2004,9,tt0437912
Cortometraje,Connected,2004,12,tt0437937
Cortometraje,Breach,2004,6,tt0437880
Cortometraje,Running on Empty,2004,11,tt0438384
Cortometraje,Ritmo & Furia,2004,11,tt0439786
Cortometraje,No me toques,2004,12,tt0441400
Cortometraje,Du même sang,2004,11,tt0442184
Cortometraje,Lobos,2004,-,tt0447258
Cortometraje,Moondance,2004,8,tt0447308
Cortometraje,Highcrime,2004,12,tt0445016
Cortometraje,Rebel,2004,11,tt0449533
